Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 36 ${websiteName},1,1429,1429,1429,1429,1429,1429,1429,"0,000%",",69979","208,35","0,18"
Owners tab,500,21164,22076,35242,35854,36683,1429,42671,"0,000%","11,60955","3456,50","2,93"
http://20.50.171.10:9966/petclinic/api/owners 22 ${websiteName},1,1652,1652,1652,1652,1652,1652,1652,"0,000%",",60533","180,22","0,15"
http://20.50.171.10:9966/petclinic/api/owners 27 ${websiteName},1,1769,1769,1769,1769,1769,1769,1769,"0,000%",",56529","168,30","0,14"
http://20.50.171.10:9966/petclinic/api/owners 7 ${websiteName},1,1949,1949,1949,1949,1949,1949,1949,"0,000%",",51308","152,76","0,13"
http://20.50.171.10:9966/petclinic/api/owners 18 ${websiteName},1,2058,2058,2058,2058,2058,2058,2058,"0,000%",",48591","144,67","0,12"
http://20.50.171.10:9966/petclinic/api/owners 15 ${websiteName},1,2137,2137,2137,2137,2137,2137,2137,"0,000%",",46795","139,32","0,12"
http://20.50.171.10:9966/petclinic/api/owners 33 ${websiteName},1,2419,2419,2419,2419,2419,2419,2419,"0,000%",",41339","123,08","0,10"
http://20.50.171.10:9966/petclinic/api/owners 39 ${websiteName},1,2450,2450,2450,2450,2450,2450,2450,"0,000%",",40816","121,52","0,10"
http://20.50.171.10:9966/petclinic/api/owners 30 ${websiteName},1,2646,2646,2646,2646,2646,2646,2646,"0,000%",",37793","112,52","0,10"
http://20.50.171.10:9966/petclinic/api/owners 222 ${websiteName},1,2313,2313,2313,2313,2313,2313,2313,"0,000%",",43234","128,72","0,11"
http://20.50.171.10:9966/petclinic/api/owners 9 ${websiteName},1,2955,2955,2955,2955,2955,2955,2955,"0,000%",",33841","100,75","0,09"
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,3103,3103,3103,3103,3103,3103,3103,"0,000%",",32227","95,95","0,08"
http://20.50.171.10:9966/petclinic/api/owners 42 ${websiteName},1,3071,3071,3071,3071,3071,3071,3071,"0,000%",",32563","96,95","0,08"
http://20.50.171.10:9966/petclinic/api/owners 10 ${websiteName},1,3344,3344,3344,3344,3344,3344,3344,"0,000%",",29904","89,03","0,08"
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},1,3368,3368,3368,3368,3368,3368,3368,"0,000%",",29691","88,40","0,07"
http://20.50.171.10:9966/petclinic/api/owners 66 ${websiteName},1,3459,3459,3459,3459,3459,3459,3459,"0,000%",",28910","86,07","0,07"
http://20.50.171.10:9966/petclinic/api/owners 94 ${websiteName},1,3412,3412,3412,3412,3412,3412,3412,"0,000%",",29308","87,26","0,07"
http://20.50.171.10:9966/petclinic/api/owners 45 ${websiteName},1,3650,3650,3650,3650,3650,3650,3650,"0,000%",",27397","81,57","0,07"
