Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},1,1491,1491,1491,1491,1491,1491,1491,"0,000%",",67069","199,68","0,17"
Owners tab,50,3855,4203,5257,5396,5724,1388,5724,"0,000%","7,61499","2267,21","1,92"
http://20.50.171.10:9966/petclinic/api/owners 11 ${websiteName},1,1388,1388,1388,1388,1388,1388,1388,"0,000%",",72046","214,50","0,18"
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,1612,1612,1612,1612,1612,1612,1612,"0,000%",",62035","184,70","0,16"
http://20.50.171.10:9966/petclinic/api/owners 5 ${websiteName},1,1772,1772,1772,1772,1772,1772,1772,"0,000%",",56433","168,02","0,14"
http://20.50.171.10:9966/petclinic/api/owners 14 ${websiteName},1,2100,2100,2100,2100,2100,2100,2100,"0,000%",",47619","141,78","0,12"
http://20.50.171.10:9966/petclinic/api/owners 16 ${websiteName},1,2234,2234,2234,2234,2234,2234,2234,"0,000%",",44763","133,27","0,11"
http://20.50.171.10:9966/petclinic/api/owners 20 ${websiteName},1,2209,2209,2209,2209,2209,2209,2209,"0,000%",",45269","134,78","0,11"
http://20.50.171.10:9966/petclinic/api/owners/5 20 Pet clinic,1,43,43,43,43,43,43,43,"0,000%","23,25581","10,27","5,90"
http://20.50.171.10:9966/petclinic/api/owners/5 1 Pet clinic,1,1132,1132,1132,1132,1132,1132,1132,"0,000%",",88339","0,39","0,22"
http://20.50.171.10:9966/petclinic/api/owners/5 11 Pet clinic,1,1054,1054,1054,1054,1054,1054,1054,"0,000%",",94877","0,42","0,24"
http://20.50.171.10:9966/petclinic/api/owners/5 5 Pet clinic,1,865,865,865,865,865,865,865,"0,000%","1,15607","0,51","0,29"
http://20.50.171.10:9966/petclinic/api/owners/5 2 Pet clinic,1,1072,1072,1072,1072,1072,1072,1072,"0,000%",",93284","0,41","0,24"
http://20.50.171.10:9966/petclinic/api/owners/5 14 Pet clinic,1,359,359,359,359,359,359,359,"0,000%","2,78552","1,23","0,71"
http://20.50.171.10:9966/petclinic/api/owners/5 16 Pet clinic,1,189,189,189,189,189,189,189,"0,000%","5,29101","2,34","1,34"
http://20.50.171.10:9966/petclinic/api/pets/1 1 Pet clinic,1,129,129,129,129,129,129,129,"100,000%","7,75194","1,93","2,60"
Owner page,50,200,96,390,911,1261,83,1261,"100,000%","9,69556","6,69","5,72"
http://20.50.171.10:9966/petclinic/api/pets/1 11 Pet clinic,1,119,119,119,119,119,119,119,"100,000%","8,40336","2,09","2,82"
http://20.50.171.10:9966/petclinic/api/pets/1 20 Pet clinic,1,132,132,132,132,132,132,132,"100,000%","7,57576","1,89","2,54"
http://20.50.171.10:9966/petclinic/api/pets/1 2 Pet clinic,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","7,47"
http://20.50.171.10:9966/petclinic/api/pets/1 14 Pet clinic,1,46,46,46,46,46,46,46,"100,000%","21,73913","5,41","7,30"
http://20.50.171.10:9966/petclinic/api/pets/1 16 Pet clinic,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","7,47"
http://20.50.171.10:9966/petclinic/api/pets/1 5 Pet clinic,1,46,46,46,46,46,46,46,"100,000%","21,73913","5,41","7,30"
http://20.50.171.10:9966/petclinic/api/owners 23 ${websiteName},1,2393,2393,2393,2393,2393,2393,2393,"0,000%",",41789","124,42","0,11"
http://20.50.171.10:9966/petclinic/api/owners 8 ${websiteName},1,2698,2698,2698,2698,2698,2698,2698,"0,000%",",37064","110,35","0,09"
