Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 3 ${websiteName},1,817,817,817,817,817,817,817,"0,000%","1,22399","364,42","0,31"
Owners tab,10,1106,977,1513,1513,1694,811,1694,"0,000%","5,00250","1489,39","1,26"
http://20.50.171.10:9966/petclinic/api/owners/5 3 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","9,39","5,40"
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,977,977,977,977,977,977,977,"0,000%","1,02354","304,74","0,26"
http://20.50.171.10:9966/petclinic/api/pets/1 3 Pet clinic,1,46,46,46,46,46,46,46,"100,000%","21,73913","5,41","7,30"
Owner page,10,94,94,103,103,104,85,104,"100,000%","9,33707","6,45","5,51"
http://20.50.171.10:9966/petclinic/api/owners/5 2 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","9,39","5,40"
http://20.50.171.10:9966/petclinic/api/pets/1 2 Pet clinic,1,41,41,41,41,41,41,41,"100,000%","24,39024","6,07","8,19"
http://20.50.171.10:9966/petclinic/api/owners 6 ${websiteName},1,811,811,811,811,811,811,811,"0,000%","1,23305","367,11","0,31"
http://20.50.171.10:9966/petclinic/api/owners/5 6 Pet clinic,1,50,50,50,50,50,50,50,"0,000%","20,00000","8,83","5,08"
http://20.50.171.10:9966/petclinic/api/pets/1 6 Pet clinic,1,48,48,48,48,48,48,48,"100,000%","20,83333","5,19","7,00"
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},1,1472,1472,1472,1472,1472,1472,1472,"0,000%",",67935","202,26","0,17"
http://20.50.171.10:9966/petclinic/api/owners/5 1 Pet clinic,1,52,52,52,52,52,52,52,"0,000%","19,23077","8,49","4,88"
http://20.50.171.10:9966/petclinic/api/pets/1 1 Pet clinic,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","7,47"
http://20.50.171.10:9966/petclinic/api/owners 9 ${websiteName},1,814,814,814,814,814,814,814,"0,000%","1,22850","365,76","0,31"
http://20.50.171.10:9966/petclinic/api/owners/5 9 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","9,39","5,40"
http://20.50.171.10:9966/petclinic/api/owners 7 ${websiteName},1,1074,1074,1074,1074,1074,1074,1074,"0,000%",",93110","277,22","0,23"
http://20.50.171.10:9966/petclinic/api/pets/1 9 Pet clinic,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","8,00"
http://20.50.171.10:9966/petclinic/api/owners/5 7 Pet clinic,1,42,42,42,42,42,42,42,"0,000%","23,80952","10,51","6,05"
http://20.50.171.10:9966/petclinic/api/owners 10 ${websiteName},1,828,828,828,828,828,828,828,"0,000%","1,20773","359,58","0,30"
http://20.50.171.10:9966/petclinic/api/pets/1 7 Pet clinic,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","7,81"
http://20.50.171.10:9966/petclinic/api/owners 8 ${websiteName},1,1062,1062,1062,1062,1062,1062,1062,"0,000%",",94162","280,35","0,24"
http://20.50.171.10:9966/petclinic/api/owners/5 10 Pet clinic,1,56,56,56,56,56,56,56,"0,000%","17,85714","7,88","4,53"
http://20.50.171.10:9966/petclinic/api/owners/5 8 Pet clinic,1,60,60,60,60,60,60,60,"0,000%","16,66667","7,36","4,23"
http://20.50.171.10:9966/petclinic/api/pets/1 10 Pet clinic,1,48,48,48,48,48,48,48,"100,000%","20,83333","5,19","7,00"
http://20.50.171.10:9966/petclinic/api/pets/1 8 Pet clinic,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","7,81"
http://20.50.171.10:9966/petclinic/api/owners 5 ${websiteName},1,1513,1513,1513,1513,1513,1513,1513,"0,000%",",66094","196,78","0,17"
http://20.50.171.10:9966/petclinic/api/owners/5 5 Pet clinic,1,55,55,55,55,55,55,55,"0,000%","18,18182","8,03","4,62"
http://20.50.171.10:9966/petclinic/api/owners 4 ${websiteName},1,1694,1694,1694,1694,1694,1694,1694,"0,000%",",59032","175,76","0,15"
http://20.50.171.10:9966/petclinic/api/pets/1 5 Pet clinic,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","8,00"
http://20.50.171.10:9966/petclinic/api/owners/5 4 Pet clinic,1,54,54,54,54,54,54,54,"0,000%","18,51852","8,17","4,70"
http://20.50.171.10:9966/petclinic/api/pets/1 4 Pet clinic,1,40,40,40,40,40,40,40,"100,000%","25,00000","6,23","8,40"
TOTAL,50,480,94,1472,1513,1694,40,1694,"40,000%","23,86635","2848,88","8,04"
