Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 165 ${websiteName},2,115,102,128,128,128,102,128,"0,000%","2,75862","1,43","1,21"
http://20.50.171.10:9966/petclinic/api/owners 164 ${websiteName},2,7140,94,14187,14187,14187,94,14187,"0,000%",",13407","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 155 ${websiteName},2,122,117,127,127,127,117,127,"0,000%","2,75103","1,43","1,21"
http://20.50.171.10:9966/petclinic/api/owners 138 ${websiteName},2,153,131,176,176,176,131,176,"0,000%","3,04414","1,58","1,34"
http://20.50.171.10:9966/petclinic/api/owners 172 ${websiteName},2,8102,95,16110,16110,16110,95,16110,"0,000%",",11868","0,06","0,05"
http://20.50.171.10:9966/petclinic/api/owners 11 ${websiteName},3,4076,343,11790,11790,11790,97,11790,"0,000%",",22983","0,12","0,10"
http://20.50.171.10:9966/petclinic/api/owners 146 ${websiteName},2,130,117,143,143,143,117,143,"0,000%","2,94551","1,53","1,30"
http://20.50.171.10:9966/petclinic/api/owners 176 ${websiteName},2,10832,100,21565,21565,21565,100,21565,"0,000%",",08991","0,05","0,04"
http://20.50.171.10:9966/petclinic/api/owners 153 ${websiteName},2,115,112,119,119,119,112,119,"0,000%","2,82486","1,47","1,24"
http://20.50.171.10:9966/petclinic/api/owners 89 ${websiteName},3,3890,123,11448,11448,11448,100,11448,"0,000%",",23480","0,12","0,10"
http://20.50.171.10:9966/petclinic/api/owners 53 ${websiteName},3,7161,183,21196,21196,21196,105,21196,"0,000%",",13286","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 143 ${websiteName},2,130,102,159,159,159,102,159,"0,000%","2,99401","1,56","1,32"
http://20.50.171.10:9966/petclinic/api/owners 68 ${websiteName},3,6663,245,19636,19636,19636,108,19636,"0,000%",",14332","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},3,6709,358,19653,19653,19653,116,19653,"0,000%",",14352","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 12 ${websiteName},3,6797,219,20047,20047,20047,125,20047,"0,000%",",14073","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 147 ${websiteName},2,111,102,120,120,120,102,120,"0,000%","3,15956","1,64","1,39"
http://20.50.171.10:9966/petclinic/api/owners 174 ${websiteName},2,5861,94,11628,11628,11628,94,11628,"0,000%",",16198","0,08","0,07"
http://20.50.171.10:9966/petclinic/api/owners 182 ${websiteName},2,8092,95,16089,16089,16089,95,16089,"0,000%",",11888","0,06","0,05"
http://20.50.171.10:9966/petclinic/api/owners 149 ${websiteName},2,135,124,146,146,146,124,146,"0,000%","2,84900","1,48","1,25"
http://20.50.171.10:9966/petclinic/api/owners 38 ${websiteName},3,7147,381,20933,20933,20933,129,20933,"0,000%",",13463","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 60 ${websiteName},3,3756,205,10960,10960,10960,104,10960,"0,000%",",24329","0,13","0,11"
http://20.50.171.10:9966/petclinic/api/owners 145 ${websiteName},2,181,157,206,206,206,157,206,"0,000%","3,15457","1,64","1,39"
http://20.50.171.10:9966/petclinic/api/owners 70 ${websiteName},3,6859,187,20228,20228,20228,164,20228,"0,000%",",13882","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 122 ${websiteName},2,175,109,242,242,242,109,242,"0,000%","2,86944","1,49","1,26"
http://20.50.171.10:9966/petclinic/api/owners 29 ${websiteName},3,3961,213,11570,11570,11570,102,11570,"0,000%",",23290","0,12","0,10"
http://20.50.171.10:9966/petclinic/api/owners 55 ${websiteName},3,6990,385,20483,20483,20483,103,20483,"0,000%",",13717","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 118 ${websiteName},2,183,122,244,244,244,122,244,"0,000%","2,84091","1,48","1,25"
http://20.50.171.10:9966/petclinic/api/owners 185 ${websiteName},2,1037,103,1972,1972,1972,103,1972,"0,000%",",72966","0,38","0,32"
http://20.50.171.10:9966/petclinic/api/owners 77 ${websiteName},3,3841,157,11251,11251,11251,117,11251,"0,000%",",23838","0,12","0,10"
http://20.50.171.10:9966/petclinic/api/owners 28 ${websiteName},3,6799,115,20181,20181,20181,102,20181,"0,000%",",14020","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 72 ${websiteName},3,6849,126,20312,20312,20312,109,20312,"0,000%",",13864","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 86 ${websiteName},3,6775,129,20094,20094,20094,103,20094,"0,000%",",14001","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 88 ${websiteName},3,6656,133,19709,19709,19709,127,19709,"0,000%",",14263","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 22 ${websiteName},3,7269,385,21314,21314,21314,108,21314,"0,000%",",13264","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 81 ${websiteName},3,5011,245,14658,14658,14658,132,14658,"0,000%",",18772","0,10","0,08"
http://20.50.171.10:9966/petclinic/api/owners 105 ${websiteName},2,183,114,253,253,253,114,253,"0,000%","2,84900","1,48","1,25"
http://20.50.171.10:9966/petclinic/api/owners 166 ${websiteName},2,116,108,125,125,125,108,125,"0,000%","2,58732","1,34","1,14"
http://20.50.171.10:9966/petclinic/api/owners 137 ${websiteName},2,157,108,206,206,206,108,206,"0,000%","3,04878","1,58","1,34"
http://20.50.171.10:9966/petclinic/api/owners 161 ${websiteName},2,108,104,112,112,112,104,112,"0,000%","2,72480","1,42","1,20"
http://20.50.171.10:9966/petclinic/api/owners 191 ${websiteName},2,5512,105,10920,10920,10920,105,10920,"0,000%",",16978","0,09","0,07"
http://20.50.171.10:9966/petclinic/api/owners 10 ${websiteName},3,7113,230,21003,21003,21003,106,21003,"0,000%",",13462","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 181 ${websiteName},2,11603,95,23111,23111,23111,95,23111,"0,000%",",08404","0,04","0,04"
http://20.50.171.10:9966/petclinic/api/owners 162 ${websiteName},2,99,96,103,103,103,96,103,"0,000%","2,72109","1,41","1,20"
http://20.50.171.10:9966/petclinic/api/owners 156 ${websiteName},2,128,126,131,131,131,126,131,"0,000%","2,68097","1,39","1,18"
http://20.50.171.10:9966/petclinic/api/owners 103 ${websiteName},2,177,110,245,245,245,110,245,"0,000%","2,86533","1,49","1,26"
http://20.50.171.10:9966/petclinic/api/owners 26 ${websiteName},3,7091,204,20966,20966,20966,103,20966,"0,000%",",13471","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 61 ${websiteName},3,7219,363,21182,21182,21182,112,21182,"0,000%",",13288","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 120 ${websiteName},2,179,119,240,240,240,119,240,"0,000%","2,87356","1,49","1,27"
http://20.50.171.10:9966/petclinic/api/owners 82 ${websiteName},3,7125,137,21135,21135,21135,105,21135,"0,000%",",13358","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 100 ${websiteName},3,7040,236,20774,20774,20774,110,20774,"0,000%",",13539","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 43 ${websiteName},3,6722,345,19712,19712,19712,109,19712,"0,000%",",14250","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 157 ${websiteName},2,114,113,116,116,116,113,116,"0,000%","2,65604","1,38","1,17"
http://20.50.171.10:9966/petclinic/api/owners 142 ${websiteName},2,127,112,143,143,143,112,143,"0,000%","2,92398","1,52","1,29"
http://20.50.171.10:9966/petclinic/api/owners 154 ${websiteName},2,112,106,119,119,119,106,119,"0,000%","2,86533","1,49","1,26"
http://20.50.171.10:9966/petclinic/api/owners 27 ${websiteName},3,6632,203,19594,19594,19594,99,19594,"0,000%",",14351","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 96 ${websiteName},3,6738,106,20004,20004,20004,106,20004,"0,000%",",14036","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 158 ${websiteName},2,115,111,120,120,120,111,120,"0,000%","2,64901","1,38","1,17"
http://20.50.171.10:9966/petclinic/api/owners 163 ${websiteName},2,107,107,108,108,108,107,108,"0,000%","2,69179","1,40","1,19"
http://20.50.171.10:9966/petclinic/api/owners 13 ${websiteName},3,3611,109,10629,10629,10629,95,10629,"0,000%",",25413","0,13","0,11"
http://20.50.171.10:9966/petclinic/api/owners 150 ${websiteName},2,127,113,141,141,141,113,141,"0,000%","2,50000","1,30","1,10"
http://20.50.171.10:9966/petclinic/api/owners 171 ${websiteName},2,5883,94,11672,11672,11672,94,11672,"0,000%",",16106","0,08","0,07"
http://20.50.171.10:9966/petclinic/api/owners 23 ${websiteName},3,6969,355,20449,20449,20449,103,20449,"0,000%",",13792","0,07","0,06"
