Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},1,106,106,106,106,106,106,106,"0,000%","9,43396","4,88","4,15"
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,102,102,102,102,102,102,102,"0,000%","9,80392","5,07","4,32"
http://20.50.171.10:9966/petclinic/api/owners 1 Pet clinic,1,179,179,179,179,179,179,179,"0,000%","5,58659","308,40","1,41"
New owner form,10,296,285,332,332,354,274,354,"0,000%","8,40336","473,88","5,82"
http://20.50.171.10:9966/petclinic/api/owners 3 ${websiteName},1,97,97,97,97,97,97,97,"0,000%","10,30928","5,34","4,54"
http://20.50.171.10:9966/petclinic/api/owners 2 Pet clinic,1,177,177,177,177,177,177,177,"0,000%","5,64972","312,70","1,42"
http://20.50.171.10:9966/petclinic/api/owners 4 ${websiteName},1,92,92,92,92,92,92,92,"0,000%","10,86957","5,63","4,79"
http://20.50.171.10:9966/petclinic/api/owners 3 Pet clinic,1,178,178,178,178,178,178,178,"0,000%","5,61798","311,76","1,42"
http://20.50.171.10:9966/petclinic/api/owners 5 ${websiteName},1,101,101,101,101,101,101,101,"0,000%","9,90099","5,12","4,36"
http://20.50.171.10:9966/petclinic/api/owners 4 Pet clinic,1,182,182,182,182,182,182,182,"0,000%","5,49451","305,71","1,38"
http://20.50.171.10:9966/petclinic/api/owners 6 ${websiteName},1,109,109,109,109,109,109,109,"0,000%","9,17431","4,75","4,04"
http://20.50.171.10:9966/petclinic/api/owners 5 Pet clinic,1,182,182,182,182,182,182,182,"0,000%","5,49451","306,51","1,38"
http://20.50.171.10:9966/petclinic/api/owners 7 ${websiteName},1,107,107,107,107,107,107,107,"0,000%","9,34579","4,84","4,12"
http://20.50.171.10:9966/petclinic/api/owners 8 ${websiteName},1,92,92,92,92,92,92,92,"0,000%","10,86957","5,63","4,79"
http://20.50.171.10:9966/petclinic/api/owners 6 Pet clinic,1,184,184,184,184,184,184,184,"0,000%","5,43478","303,97","1,37"
http://20.50.171.10:9966/petclinic/api/owners 7 Pet clinic,1,247,247,247,247,247,247,247,"0,000%","4,04858","227,03","1,02"
http://20.50.171.10:9966/petclinic/api/owners 9 ${websiteName},1,156,156,156,156,156,156,156,"0,000%","6,41026","3,32","2,82"
http://20.50.171.10:9966/petclinic/api/owners 10 ${websiteName},1,96,96,96,96,96,96,96,"0,000%","10,41667","5,39","4,59"
http://20.50.171.10:9966/petclinic/api/owners 8 Pet clinic,1,205,205,205,205,205,205,205,"0,000%","4,87805","274,25","1,23"
http://20.50.171.10:9966/petclinic/api/owners 9 Pet clinic,1,176,176,176,176,176,176,176,"0,000%","5,68182","321,13","1,43"
http://20.50.171.10:9966/petclinic/api/owners 10 Pet clinic,1,193,193,193,193,193,193,193,"0,000%","5,18135","292,84","1,31"
TOTAL,30,197,182,293,297,354,92,354,"0,000%","25,21008","947,75","11,64"
