Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},1,115,115,115,115,115,115,115,"0,000%","8,69565","4,50","3,83"
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,115,115,115,115,115,115,115,"0,000%","8,69565","4,50","3,83"
http://20.50.171.10:9966/petclinic/api/owners 3 ${websiteName},1,114,114,114,114,114,114,114,"0,000%","8,77193","4,54","3,86"
http://20.50.171.10:9966/petclinic/api/owners 4 ${websiteName},1,110,110,110,110,110,110,110,"0,000%","9,09091","4,71","4,00"
http://20.50.171.10:9966/petclinic/api/owners 5 ${websiteName},1,117,117,117,117,117,117,117,"0,000%","8,54701","4,42","3,76"
http://20.50.171.10:9966/petclinic/api/owners 6 ${websiteName},1,99,99,99,99,99,99,99,"0,000%","10,10101","5,23","4,45"
http://20.50.171.10:9966/petclinic/api/owners 7 ${websiteName},1,94,94,94,94,94,94,94,"0,000%","10,63830","5,51","4,69"
http://20.50.171.10:9966/petclinic/api/owners 8 ${websiteName},1,110,110,110,110,110,110,110,"0,000%","9,09091","4,71","4,00"
http://20.50.171.10:9966/petclinic/api/owners 9 ${websiteName},1,103,103,103,103,103,103,103,"0,000%","9,70874","5,03","4,28"
http://20.50.171.10:9966/petclinic/api/owners 10 ${websiteName},1,99,99,99,99,99,99,99,"0,000%","10,10101","5,23","4,45"
http://20.50.171.10:9966/petclinic/api/owners 11 ${websiteName},1,107,107,107,107,107,107,107,"0,000%","9,34579","4,84","4,12"
http://20.50.171.10:9966/petclinic/api/owners 12 ${websiteName},1,99,99,99,99,99,99,99,"0,000%","10,10101","5,23","4,45"
http://20.50.171.10:9966/petclinic/api/owners 13 ${websiteName},1,92,92,92,92,92,92,92,"0,000%","10,86957","5,63","4,79"
http://20.50.171.10:9966/petclinic/api/owners 14 ${websiteName},1,103,103,103,103,103,103,103,"0,000%","9,70874","5,03","4,28"
http://20.50.171.10:9966/petclinic/api/owners 15 ${websiteName},1,176,176,176,176,176,176,176,"0,000%","5,68182","2,94","2,50"
http://20.50.171.10:9966/petclinic/api/owners 16 ${websiteName},1,169,169,169,169,169,169,169,"0,000%","5,91716","3,06","2,61"
http://20.50.171.10:9966/petclinic/api/owners 7 Pet clinic,1,255,255,255,255,255,255,255,"0,000%","3,92157","226,78","0,99"
New owner form,50,475,427,623,829,1342,281,1342,"0,000%","25,45825","1554,54","17,63"
http://20.50.171.10:9966/petclinic/api/owners 17 ${websiteName},1,156,156,156,156,156,156,156,"0,000%","6,41026","3,32","2,82"
http://20.50.171.10:9966/petclinic/api/owners 6 Pet clinic,1,294,294,294,294,294,294,294,"0,000%","3,40136","195,71","0,86"
http://20.50.171.10:9966/petclinic/api/owners 19 ${websiteName},1,157,157,157,157,157,157,157,"0,000%","6,36943","3,30","2,81"
http://20.50.171.10:9966/petclinic/api/owners 18 ${websiteName},1,179,179,179,179,179,179,179,"0,000%","5,58659","2,89","2,46"
http://20.50.171.10:9966/petclinic/api/owners 1 Pet clinic,1,404,404,404,404,404,404,404,"0,000%","2,47525","140,98","0,62"
http://20.50.171.10:9966/petclinic/api/owners 20 ${websiteName},1,142,142,142,142,142,142,142,"0,000%","7,04225","3,64","3,10"
