Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},1,111,111,111,111,111,111,111,"0,000%","9,00901","4,66","3,97"
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,105,105,105,105,105,105,105,"0,000%","9,52381","4,93","4,19"
http://20.50.171.10:9966/petclinic/api/owners 3 ${websiteName},1,108,108,108,108,108,108,108,"0,000%","9,25926","4,79","4,08"
http://20.50.171.10:9966/petclinic/api/owners 4 ${websiteName},1,109,109,109,109,109,109,109,"0,000%","9,17431","4,75","4,04"
http://20.50.171.10:9966/petclinic/api/owners 5 ${websiteName},1,101,101,101,101,101,101,101,"0,000%","9,90099","5,12","4,36"
http://20.50.171.10:9966/petclinic/api/owners 6 ${websiteName},1,100,100,100,100,100,100,100,"0,000%","10,00000","5,18","4,40"
http://20.50.171.10:9966/petclinic/api/owners 7 ${websiteName},1,116,116,116,116,116,116,116,"0,000%","8,62069","4,46","3,80"
http://20.50.171.10:9966/petclinic/api/owners 9 ${websiteName},1,105,105,105,105,105,105,105,"0,000%","9,52381","4,93","4,19"
http://20.50.171.10:9966/petclinic/api/owners 8 ${websiteName},1,114,114,114,114,114,114,114,"0,000%","8,77193","4,54","3,86"
http://20.50.171.10:9966/petclinic/api/owners 10 ${websiteName},1,103,103,103,103,103,103,103,"0,000%","9,70874","5,03","4,28"
http://20.50.171.10:9966/petclinic/api/owners 11 ${websiteName},1,107,107,107,107,107,107,107,"0,000%","9,34579","4,84","4,12"
http://20.50.171.10:9966/petclinic/api/owners 12 ${websiteName},1,111,111,111,111,111,111,111,"0,000%","9,00901","4,66","3,97"
http://20.50.171.10:9966/petclinic/api/owners 13 ${websiteName},1,121,121,121,121,121,121,121,"0,000%","8,26446","4,28","3,64"
http://20.50.171.10:9966/petclinic/api/owners 15 ${websiteName},1,104,104,104,104,104,104,104,"0,000%","9,61538","4,98","4,23"
http://20.50.171.10:9966/petclinic/api/owners 14 ${websiteName},1,126,126,126,126,126,126,126,"0,000%","7,93651","4,11","3,50"
http://20.50.171.10:9966/petclinic/api/owners 16 ${websiteName},1,110,110,110,110,110,110,110,"0,000%","9,09091","4,71","4,00"
http://20.50.171.10:9966/petclinic/api/owners 17 ${websiteName},1,104,104,104,104,104,104,104,"0,000%","9,61538","4,98","4,23"
http://20.50.171.10:9966/petclinic/api/owners 18 ${websiteName},1,104,104,104,104,104,104,104,"0,000%","9,61538","4,98","4,23"
http://20.50.171.10:9966/petclinic/api/owners 19 ${websiteName},1,110,110,110,110,110,110,110,"0,000%","9,09091","4,71","4,00"
http://20.50.171.10:9966/petclinic/api/owners 20 ${websiteName},1,110,110,110,110,110,110,110,"0,000%","9,09091","4,71","4,00"
http://20.50.171.10:9966/petclinic/api/owners 21 ${websiteName},1,103,103,103,103,103,103,103,"0,000%","9,70874","5,03","4,28"
http://20.50.171.10:9966/petclinic/api/owners 22 ${websiteName},1,107,107,107,107,107,107,107,"0,000%","9,34579","4,84","4,12"
http://20.50.171.10:9966/petclinic/api/owners 23 ${websiteName},1,103,103,103,103,103,103,103,"0,000%","9,70874","5,03","4,28"
http://20.50.171.10:9966/petclinic/api/owners 25 ${websiteName},1,110,110,110,110,110,110,110,"0,000%","9,09091","4,71","4,00"
http://20.50.171.10:9966/petclinic/api/owners 24 ${websiteName},1,121,121,121,121,121,121,121,"0,000%","8,26446","4,28","3,64"
http://20.50.171.10:9966/petclinic/api/owners 26 ${websiteName},1,113,113,113,113,113,113,113,"0,000%","8,84956","4,58","3,90"
http://20.50.171.10:9966/petclinic/api/owners 27 ${websiteName},1,110,110,110,110,110,110,110,"0,000%","9,09091","4,71","4,00"
http://20.50.171.10:9966/petclinic/api/owners 28 ${websiteName},1,109,109,109,109,109,109,109,"0,000%","9,17431","4,75","4,04"
http://20.50.171.10:9966/petclinic/api/owners 29 ${websiteName},1,106,106,106,106,106,106,106,"0,000%","9,43396","4,88","4,15"
http://20.50.171.10:9966/petclinic/api/owners 30 ${websiteName},1,101,101,101,101,101,101,101,"0,000%","9,90099","5,12","4,36"
http://20.50.171.10:9966/petclinic/api/owners 31 ${websiteName},1,123,123,123,123,123,123,123,"0,000%","8,13008","4,21","3,58"
http://20.50.171.10:9966/petclinic/api/owners 32 ${websiteName},1,112,112,112,112,112,112,112,"0,000%","8,92857","4,62","3,93"
http://20.50.171.10:9966/petclinic/api/owners 4 Pet clinic,1,290,290,290,290,290,290,290,"0,000%","3,44828","224,53","0,87"
New owner form,100,879,775,1352,1482,1774,392,1881,"0,000%","44,88330","3260,08","31,08"
http://20.50.171.10:9966/petclinic/api/owners 33 ${websiteName},1,117,117,117,117,117,117,117,"0,000%","8,54701","4,42","3,76"
http://20.50.171.10:9966/petclinic/api/owners 34 ${websiteName},1,114,114,114,114,114,114,114,"0,000%","8,77193","4,54","3,86"
http://20.50.171.10:9966/petclinic/api/owners 6 Pet clinic,1,292,292,292,292,292,292,292,"0,000%","3,42466","223,98","0,86"
http://20.50.171.10:9966/petclinic/api/owners 35 ${websiteName},1,106,106,106,106,106,106,106,"0,000%","9,43396","4,88","4,15"
http://20.50.171.10:9966/petclinic/api/owners 37 ${websiteName},1,116,116,116,116,116,116,116,"0,000%","8,62069","4,46","3,80"
http://20.50.171.10:9966/petclinic/api/owners 38 ${websiteName},1,113,113,113,113,113,113,113,"0,000%","8,84956","4,58","3,90"
http://20.50.171.10:9966/petclinic/api/owners 36 ${websiteName},1,151,151,151,151,151,151,151,"0,000%","6,62252","3,43","2,92"
http://20.50.171.10:9966/petclinic/api/owners 39 ${websiteName},1,132,132,132,132,132,132,132,"0,000%","7,57576","3,92","3,34"
http://20.50.171.10:9966/petclinic/api/owners 40 ${websiteName},1,130,130,130,130,130,130,130,"0,000%","7,69231","3,98","3,39"
http://20.50.171.10:9966/petclinic/api/owners 41 ${websiteName},1,119,119,119,119,119,119,119,"0,000%","8,40336","4,35","3,70"
http://20.50.171.10:9966/petclinic/api/owners 8 Pet clinic,1,334,334,334,334,334,334,334,"0,000%","2,99401","196,69","0,75"
http://20.50.171.10:9966/petclinic/api/owners 42 ${websiteName},1,122,122,122,122,122,122,122,"0,000%","8,19672","4,24","3,61"
http://20.50.171.10:9966/petclinic/api/owners 43 ${websiteName},1,146,146,146,146,146,146,146,"0,000%","6,84932","3,55","3,02"
http://20.50.171.10:9966/petclinic/api/owners 44 ${websiteName},1,137,137,137,137,137,137,137,"0,000%","7,29927","3,78","3,21"
http://20.50.171.10:9966/petclinic/api/owners 11 Pet clinic,1,376,376,376,376,376,376,376,"0,000%","2,65957","175,88","0,67"
http://20.50.171.10:9966/petclinic/api/owners 10 Pet clinic,1,391,391,391,391,391,391,391,"0,000%","2,55754","168,76","0,64"
http://20.50.171.10:9966/petclinic/api/owners 1 Pet clinic,1,483,483,483,483,483,483,483,"0,000%","2,07039","133,90","0,52"
http://20.50.171.10:9966/petclinic/api/owners 47 ${websiteName},1,160,160,160,160,160,160,160,"0,000%","6,25000","3,23","2,75"
http://20.50.171.10:9966/petclinic/api/owners 46 ${websiteName},1,169,169,169,169,169,169,169,"0,000%","5,91716","3,06","2,61"
http://20.50.171.10:9966/petclinic/api/owners 45 ${websiteName},1,184,184,184,184,184,184,184,"0,000%","5,43478","2,81","2,39"
http://20.50.171.10:9966/petclinic/api/owners 13 Pet clinic,1,394,394,394,394,394,394,394,"0,000%","2,53807","168,95","0,64"
http://20.50.171.10:9966/petclinic/api/owners 49 ${websiteName},1,162,162,162,162,162,162,162,"0,000%","6,17284","3,19","2,72"
