Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 27 Pet clinic,1,41,41,41,41,41,41,41,"0,000%","24,39024","9,67","8,03"
http://20.50.171.10:9966/petclinic/api/pettypes 32 ${websiteName},1,133,133,133,133,133,133,133,"0,000%","7,51880","128,72","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes 28 Pet clinic,1,40,40,40,40,40,40,40,"0,000%","25,00000","9,91","8,23"
http://20.50.171.10:9966/petclinic/api/pettypes 33 ${websiteName},1,132,132,132,132,132,132,132,"0,000%","7,57576","130,10","1,92"
http://20.50.171.10:9966/petclinic/api/pettypes 29 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","9,01","7,48"
http://20.50.171.10:9966/petclinic/api/pettypes 34 ${websiteName},1,133,133,133,133,133,133,133,"0,000%","7,51880","129,33","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes 30 Pet clinic,1,48,48,48,48,48,48,48,"0,000%","20,83333","8,26","6,86"
http://20.50.171.10:9966/petclinic/api/pettypes 35 ${websiteName},1,131,131,131,131,131,131,131,"0,000%","7,63359","131,31","1,94"
http://20.50.171.10:9966/petclinic/api/pettypes 31 Pet clinic,1,46,46,46,46,46,46,46,"0,000%","21,73913","8,62","7,15"
http://20.50.171.10:9966/petclinic/api/pettypes 36 ${websiteName},1,127,127,127,127,127,127,127,"0,000%","7,87402","135,66","2,00"
http://20.50.171.10:9966/petclinic/api/pettypes 32 Pet clinic,1,52,52,52,52,52,52,52,"0,000%","19,23077","7,62","6,33"
http://20.50.171.10:9966/petclinic/api/pettypes 33 Pet clinic,1,42,42,42,42,42,42,42,"0,000%","23,80952","9,44","7,84"
http://20.50.171.10:9966/petclinic/api/pettypes 37 ${websiteName},1,137,137,137,137,137,137,137,"0,000%","7,29927","126,15","1,85"
http://20.50.171.10:9966/petclinic/api/pettypes 38 ${websiteName},1,130,130,130,130,130,130,130,"0,000%","7,69231","133,16","1,95"
http://20.50.171.10:9966/petclinic/api/pettypes 34 Pet clinic,1,46,46,46,46,46,46,46,"0,000%","21,73913","8,62","7,15"
http://20.50.171.10:9966/petclinic/api/pettypes 39 ${websiteName},1,132,132,132,132,132,132,132,"0,000%","7,57576","131,35","1,92"
http://20.50.171.10:9966/petclinic/api/pettypes 35 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
http://20.50.171.10:9966/petclinic/api/pettypes 40 ${websiteName},1,127,127,127,127,127,127,127,"0,000%","7,87402","136,73","2,00"
http://20.50.171.10:9966/petclinic/api/pettypes 36 Pet clinic,1,48,48,48,48,48,48,48,"0,000%","20,83333","8,26","6,86"
http://20.50.171.10:9966/petclinic/api/pettypes 41 ${websiteName},1,128,128,128,128,128,128,128,"0,000%","7,81250","135,67","1,98"
http://20.50.171.10:9966/petclinic/api/pettypes 37 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","8,44","7,00"
http://20.50.171.10:9966/petclinic/api/pettypes 42 ${websiteName},1,135,135,135,135,135,135,135,"0,000%","7,40741","128,83","1,88"
http://20.50.171.10:9966/petclinic/api/pettypes 38 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","9,01","7,48"
http://20.50.171.10:9966/petclinic/api/pettypes 43 ${websiteName},1,130,130,130,130,130,130,130,"0,000%","7,69231","134,00","1,95"
http://20.50.171.10:9966/petclinic/api/pettypes 39 Pet clinic,1,42,42,42,42,42,42,42,"0,000%","23,80952","9,44","7,84"
http://20.50.171.10:9966/petclinic/api/pettypes 40 Pet clinic,1,42,42,42,42,42,42,42,"0,000%","23,80952","9,44","7,84"
http://20.50.171.10:9966/petclinic/api/pettypes 44 ${websiteName},1,129,129,129,129,129,129,129,"0,000%","7,75194","135,46","1,97"
http://20.50.171.10:9966/petclinic/api/pettypes 41 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","8,44","7,00"
http://20.50.171.10:9966/petclinic/api/pettypes 45 ${websiteName},1,136,136,136,136,136,136,136,"0,000%","7,35294","128,69","1,87"
http://20.50.171.10:9966/petclinic/api/pettypes 46 ${websiteName},1,139,139,139,139,139,139,139,"0,000%","7,19424","125,91","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes 47 ${websiteName},1,131,131,131,131,131,131,131,"0,000%","7,63359","134,02","1,94"
