Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 2 ${websiteName},3,1106,491,2677,2677,2677,150,2677,"0,000%",",86256","18,67","0,22"
Pet types tab,500,1028,873,2289,2701,2905,150,3222,"0,000%","127,32366","2868,21","32,33"
http://20.50.171.10:9966/petclinic/api/pettypes 1 ${websiteName},3,556,490,1016,1016,1016,163,1016,"0,000%","1,65198","35,73","0,42"
http://20.50.171.10:9966/petclinic/api/pettypes 5 ${websiteName},3,1123,489,2726,2726,2726,156,2726,"0,000%",",85058","18,45","0,22"
http://20.50.171.10:9966/petclinic/api/pettypes 6 ${websiteName},3,610,753,925,925,925,154,925,"0,000%","1,93175","41,91","0,49"
http://20.50.171.10:9966/petclinic/api/pettypes 3 ${websiteName},3,1187,495,2905,2905,2905,162,2905,"0,000%",",80994","17,57","0,21"
http://20.50.171.10:9966/petclinic/api/pettypes 10 ${websiteName},3,930,1239,1384,1384,1384,167,1384,"0,000%","1,46987","34,21","0,37"
http://20.50.171.10:9966/petclinic/api/pettypes 7 ${websiteName},3,511,624,735,735,735,175,735,"0,000%","2,10526","45,71","0,53"
http://20.50.171.10:9966/petclinic/api/pettypes 9 ${websiteName},3,833,1115,1212,1212,1212,173,1212,"0,000%","1,49031","34,67","0,38"
http://20.50.171.10:9966/petclinic/api/pettypes 8 ${websiteName},3,749,510,1563,1563,1563,175,1563,"0,000%","1,27011","27,58","0,32"
http://20.50.171.10:9966/petclinic/api/pettypes 14 ${websiteName},3,1086,1332,1757,1757,1757,169,1757,"0,000%","1,17233","27,35","0,30"
http://20.50.171.10:9966/petclinic/api/pettypes 17 ${websiteName},3,476,523,737,737,737,169,737,"0,000%","1,95185","42,54","0,50"
http://20.50.171.10:9966/petclinic/api/pettypes 11 ${websiteName},3,1102,1374,1754,1754,1754,180,1754,"0,000%","1,17555","27,36","0,30"
http://20.50.171.10:9966/petclinic/api/pettypes 12 ${websiteName},3,679,526,1322,1322,1322,190,1322,"0,000%","1,41376","32,96","0,36"
http://20.50.171.10:9966/petclinic/api/pettypes 13 ${websiteName},3,789,520,1660,1660,1660,189,1660,"0,000%","1,22001","28,45","0,31"
http://20.50.171.10:9966/petclinic/api/pettypes 15 ${websiteName},3,1178,521,2829,2829,2829,185,2829,"0,000%",",82622","17,99","0,21"
http://20.50.171.10:9966/petclinic/api/pettypes 16 ${websiteName},3,504,613,717,717,717,183,717,"0,000%","2,12164","46,18","0,54"
http://20.50.171.10:9966/petclinic/api/pettypes 20 ${websiteName},3,944,533,2120,2120,2120,180,2120,"0,000%","1,02775","24,00","0,26"
http://20.50.171.10:9966/petclinic/api/pettypes 19 ${websiteName},3,1241,1635,1890,1890,1890,199,1890,"0,000%","1,23153","30,65","0,31"
http://20.50.171.10:9966/petclinic/api/pettypes 2 Pet clinic,3,124,82,238,238,238,53,238,"0,000%",",88731","0,35","0,29"
http://20.50.171.10:9966/petclinic/api/pettypes 23 ${websiteName},3,803,549,1672,1672,1672,189,1672,"0,000%","1,21359","26,45","0,31"
New pet type form,500,174,92,415,747,982,40,1407,"0,000%","130,51423","51,75","42,95"
http://20.50.171.10:9966/petclinic/api/pettypes 18 ${websiteName},3,1351,1311,2540,2540,2540,203,2540,"0,000%","1,02145","25,40","0,26"
http://20.50.171.10:9966/petclinic/api/pettypes 1 Pet clinic,3,289,76,735,735,735,56,735,"0,000%","1,75644","0,70","0,58"
http://20.50.171.10:9966/petclinic/api/pettypes 21 ${websiteName},3,928,1101,1487,1487,1487,198,1487,"0,000%","1,31119","28,58","0,33"
http://20.50.171.10:9966/petclinic/api/pettypes 24 ${websiteName},3,1036,1094,1818,1818,1818,198,1818,"0,000%","1,14591","26,79","0,29"
http://20.50.171.10:9966/petclinic/api/pettypes 26 ${websiteName},3,523,504,871,871,871,194,871,"0,000%","1,79426","39,17","0,46"
http://20.50.171.10:9966/petclinic/api/pettypes 31 ${websiteName},3,849,541,1823,1823,1823,184,1823,"0,000%","1,14373","24,97","0,29"
http://20.50.171.10:9966/petclinic/api/pettypes 28 ${websiteName},3,626,603,1086,1086,1086,191,1086,"0,000%","2,01884","44,02","0,51"
http://20.50.171.10:9966/petclinic/api/pettypes 3 Pet clinic,3,209,81,487,487,487,59,487,"0,000%",",83287","0,33","0,27"
http://20.50.171.10:9966/petclinic/api/pettypes 6 Pet clinic,3,146,170,185,185,185,84,185,"0,000%","1,89394","0,75","0,62"
http://20.50.171.10:9966/petclinic/api/pettypes 5 Pet clinic,3,201,85,466,466,466,54,466,"0,000%",",87566","0,35","0,29"
http://20.50.171.10:9966/petclinic/api/pettypes 27 ${websiteName},3,491,549,719,719,719,206,719,"0,000%","1,96850","42,92","0,50"
http://20.50.171.10:9966/petclinic/api/pettypes 29 ${websiteName},3,1033,606,2289,2289,2289,206,2289,"0,000%","1,11566","24,33","0,28"
http://20.50.171.10:9966/petclinic/api/pettypes 30 ${websiteName},3,436,498,601,601,601,209,601,"0,000%","2,13828","46,62","0,54"
