Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,928,928,928,928,928,928,928,"0,000%","1,07759","320,83","0,27"
Owners tab,100,5927,6146,8695,9104,9537,928,10175,"0,000%","9,42329","2805,59","2,37"
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},1,1106,1106,1106,1106,1106,1106,1106,"0,000%",",90416","269,19","0,23"
http://20.50.171.10:9966/petclinic/api/owners 12 ${websiteName},1,1589,1589,1589,1589,1589,1589,1589,"0,000%",",62933","187,37","0,16"
http://20.50.171.10:9966/petclinic/api/owners 3 ${websiteName},1,2077,2077,2077,2077,2077,2077,2077,"0,000%",",48146","143,35","0,12"
http://20.50.171.10:9966/petclinic/api/owners 20 ${websiteName},1,1941,1941,1941,1941,1941,1941,1941,"0,000%",",51520","153,39","0,13"
http://20.50.171.10:9966/petclinic/api/owners/5 3 Pet clinic,2,49,45,54,54,54,45,54,"0,000%",",48263","0,21","0,12"
http://20.50.171.10:9966/petclinic/api/owners 15 ${websiteName},1,2343,2343,2343,2343,2343,2343,2343,"0,000%",",42680","127,07","0,11"
http://20.50.171.10:9966/petclinic/api/owners 21 ${websiteName},1,2559,2559,2559,2559,2559,2559,2559,"0,000%",",39078","116,35","0,10"
http://20.50.171.10:9966/petclinic/api/owners 9 ${websiteName},1,2925,2925,2925,2925,2925,2925,2925,"0,000%",",34188","101,79","0,09"
http://20.50.171.10:9966/petclinic/api/owners 7 ${websiteName},1,2959,2959,2959,2959,2959,2959,2959,"0,000%",",33795","100,62","0,09"
http://20.50.171.10:9966/petclinic/api/owners 19 ${websiteName},1,2999,2999,2999,2999,2999,2999,2999,"0,000%",",33344","99,28","0,08"
http://20.50.171.10:9966/petclinic/api/owners 8 ${websiteName},1,3142,3142,3142,3142,3142,3142,3142,"0,000%",",31827","94,76","0,08"
http://20.50.171.10:9966/petclinic/api/owners 26 ${websiteName},1,3228,3228,3228,3228,3228,3228,3228,"0,000%",",30979","92,23","0,08"
http://20.50.171.10:9966/petclinic/api/owners 33 ${websiteName},1,3241,3241,3241,3241,3241,3241,3241,"0,000%",",30855","91,86","0,08"
http://20.50.171.10:9966/petclinic/api/owners 4 ${websiteName},1,3644,3644,3644,3644,3644,3644,3644,"0,000%",",27442","81,70","0,07"
