Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,1082,1082,1082,1082,1082,1082,1082,"0,000%",",92421","275,17","0,23"
Owners tab,500,22764,22489,36022,36540,38874,1082,45896,"0,200%","10,76449","3198,51","2,71"
http://20.50.171.10:9966/petclinic/api/owners 5 ${websiteName},1,1143,1143,1143,1143,1143,1143,1143,"0,000%",",87489","260,48","0,22"
http://20.50.171.10:9966/petclinic/api/owners 8 ${websiteName},1,1361,1361,1361,1361,1361,1361,1361,"0,000%",",73475","218,76","0,19"
http://20.50.171.10:9966/petclinic/api/owners 131 ${websiteName},1,1589,1589,1589,1589,1589,1589,1589,"0,000%",",62933","187,37","0,16"
http://20.50.171.10:9966/petclinic/api/owners 23 ${websiteName},1,1989,1989,1989,1989,1989,1989,1989,"0,000%",",50277","149,69","0,13"
http://20.50.171.10:9966/petclinic/api/owners 20 ${websiteName},1,2274,2274,2274,2274,2274,2274,2274,"0,000%",",43975","130,93","0,11"
http://20.50.171.10:9966/petclinic/api/owners 7 ${websiteName},1,2594,2594,2594,2594,2594,2594,2594,"0,000%",",38551","114,78","0,10"
http://20.50.171.10:9966/petclinic/api/owners 263 ${websiteName},1,2187,2187,2187,2187,2187,2187,2187,"0,000%",",45725","136,14","0,12"
http://20.50.171.10:9966/petclinic/api/owners 15 ${websiteName},1,3403,3403,3403,3403,3403,3403,3403,"0,000%",",29386","87,49","0,07"
http://20.50.171.10:9966/petclinic/api/owners 41 ${websiteName},1,3542,3542,3542,3542,3542,3542,3542,"0,000%",",28233","84,06","0,07"
http://20.50.171.10:9966/petclinic/api/owners 29 ${websiteName},1,3920,3920,3920,3920,3920,3920,3920,"0,000%",",25510","75,95","0,06"
http://20.50.171.10:9966/petclinic/api/owners 53 ${websiteName},1,4170,4170,4170,4170,4170,4170,4170,"0,000%",",23981","71,40","0,06"
http://20.50.171.10:9966/petclinic/api/owners 236 ${websiteName},1,4247,4247,4247,4247,4247,4247,4247,"0,000%",",23546","70,10","0,06"
http://20.50.171.10:9966/petclinic/api/owners 11 ${websiteName},1,4808,4808,4808,4808,4808,4808,4808,"0,000%",",20799","61,92","0,05"
http://20.50.171.10:9966/petclinic/api/owners 62 ${websiteName},1,4910,4910,4910,4910,4910,4910,4910,"0,000%",",20367","60,64","0,05"
http://20.50.171.10:9966/petclinic/api/owners 9 ${websiteName},1,5118,5118,5118,5118,5118,5118,5118,"0,000%",",19539","58,17","0,05"
http://20.50.171.10:9966/petclinic/api/owners 74 ${websiteName},1,5513,5513,5513,5513,5513,5513,5513,"0,000%",",18139","54,00","0,05"
http://20.50.171.10:9966/petclinic/api/owners 59 ${websiteName},1,5646,5646,5646,5646,5646,5646,5646,"0,000%",",17712","52,73","0,04"
http://20.50.171.10:9966/petclinic/api/owners 44 ${websiteName},1,5767,5767,5767,5767,5767,5767,5767,"0,000%",",17340","51,63","0,04"
http://20.50.171.10:9966/petclinic/api/owners 32 ${websiteName},1,6235,6235,6235,6235,6235,6235,6235,"0,000%",",16038","47,75","0,04"
http://20.50.171.10:9966/petclinic/api/owners 14 ${websiteName},1,6366,6366,6366,6366,6366,6366,6366,"0,000%",",15708","46,77","0,04"
