Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 1 ${websiteName},1,248,248,248,248,248,248,248,"0,000%","4,03226","132,38","1,02"
Pet types tab,100,337,243,585,1191,1214,186,1375,"0,000%","50,10020","1644,79","12,72"
http://20.50.171.10:9966/petclinic/api/pettypes 3 ${websiteName},1,238,238,238,238,238,238,238,"0,000%","4,20168","137,94","1,07"
http://20.50.171.10:9966/petclinic/api/pettypes 2 ${websiteName},1,240,240,240,240,240,240,240,"0,000%","4,16667","136,79","1,06"
http://20.50.171.10:9966/petclinic/api/pettypes 6 ${websiteName},1,216,216,216,216,216,216,216,"0,000%","4,62963","151,99","1,18"
http://20.50.171.10:9966/petclinic/api/pettypes 5 ${websiteName},1,226,226,226,226,226,226,226,"0,000%","4,42478","145,27","1,12"
http://20.50.171.10:9966/petclinic/api/pettypes 7 ${websiteName},1,243,243,243,243,243,243,243,"0,000%","4,11523","135,10","1,04"
http://20.50.171.10:9966/petclinic/api/pettypes 8 ${websiteName},1,232,232,232,232,232,232,232,"0,000%","4,31034","141,51","1,09"
http://20.50.171.10:9966/petclinic/api/pettypes/1 1 Pet clinic,1,53,53,53,53,53,53,53,"100,000%","18,86792","4,70","6,45"
Delete pet,100,60,48,59,66,335,40,337,"100,000%","55,89715","13,92","19,11"
http://20.50.171.10:9966/petclinic/api/pettypes/1 3 Pet clinic,1,56,56,56,56,56,56,56,"100,000%","17,85714","4,45","6,10"
http://20.50.171.10:9966/petclinic/api/pettypes/1 2 Pet clinic,1,65,65,65,65,65,65,65,"100,000%","15,38462","3,83","5,26"
http://20.50.171.10:9966/petclinic/api/pettypes 12 ${websiteName},1,215,215,215,215,215,215,215,"0,000%","4,65116","152,70","1,18"
http://20.50.171.10:9966/petclinic/api/pettypes/1 6 Pet clinic,1,67,67,67,67,67,67,67,"100,000%","14,92537","3,72","5,10"
http://20.50.171.10:9966/petclinic/api/pettypes/1 5 Pet clinic,1,66,66,66,66,66,66,66,"100,000%","15,15152","3,77","5,18"
http://20.50.171.10:9966/petclinic/api/pettypes/1 8 Pet clinic,1,49,49,49,49,49,49,49,"100,000%","20,40816","5,08","6,98"
http://20.50.171.10:9966/petclinic/api/pettypes/1 7 Pet clinic,1,49,49,49,49,49,49,49,"100,000%","20,40816","5,08","6,98"
http://20.50.171.10:9966/petclinic/api/pettypes 14 ${websiteName},1,235,235,235,235,235,235,235,"0,000%","4,25532","139,70","1,08"
http://20.50.171.10:9966/petclinic/api/pettypes 13 ${websiteName},1,246,246,246,246,246,246,246,"0,000%","4,06504","133,46","1,03"
http://20.50.171.10:9966/petclinic/api/pettypes 15 ${websiteName},1,230,230,230,230,230,230,230,"0,000%","4,34783","142,74","1,10"
http://20.50.171.10:9966/petclinic/api/pettypes/1 12 Pet clinic,1,55,55,55,55,55,55,55,"100,000%","18,18182","4,53","6,21"
http://20.50.171.10:9966/petclinic/api/pettypes 19 ${websiteName},1,231,231,231,231,231,231,231,"0,000%","4,32900","142,12","1,10"
http://20.50.171.10:9966/petclinic/api/pettypes/1 13 Pet clinic,1,56,56,56,56,56,56,56,"100,000%","17,85714","4,45","6,10"
http://20.50.171.10:9966/petclinic/api/pettypes/1 14 Pet clinic,1,56,56,56,56,56,56,56,"100,000%","17,85714","4,45","6,10"
http://20.50.171.10:9966/petclinic/api/pettypes/1 15 Pet clinic,1,54,54,54,54,54,54,54,"100,000%","18,51852","4,61","6,33"
http://20.50.171.10:9966/petclinic/api/pettypes 20 ${websiteName},1,235,235,235,235,235,235,235,"0,000%","4,25532","139,70","1,08"
http://20.50.171.10:9966/petclinic/api/pettypes 21 ${websiteName},1,229,229,229,229,229,229,229,"0,000%","4,36681","143,36","1,11"
http://20.50.171.10:9966/petclinic/api/pettypes 10 ${websiteName},1,347,347,347,347,347,347,347,"0,000%","2,88184","94,61","0,73"
http://20.50.171.10:9966/petclinic/api/pettypes 24 ${websiteName},1,207,207,207,207,207,207,207,"0,000%","4,83092","158,60","1,23"
http://20.50.171.10:9966/petclinic/api/pettypes 23 ${websiteName},1,222,222,222,222,222,222,222,"0,000%","4,50450","147,88","1,14"
http://20.50.171.10:9966/petclinic/api/pettypes 25 ${websiteName},1,224,224,224,224,224,224,224,"0,000%","4,46429","146,56","1,13"
http://20.50.171.10:9966/petclinic/api/pettypes 9 ${websiteName},1,384,384,384,384,384,384,384,"0,000%","2,60417","85,49","0,66"
http://20.50.171.10:9966/petclinic/api/pettypes/1 19 Pet clinic,1,56,56,56,56,56,56,56,"100,000%","17,85714","4,45","6,10"
http://20.50.171.10:9966/petclinic/api/pettypes 27 ${websiteName},1,213,213,213,213,213,213,213,"0,000%","4,69484","154,13","1,19"
http://20.50.171.10:9966/petclinic/api/pettypes/1 20 Pet clinic,1,53,53,53,53,53,53,53,"100,000%","18,86792","4,70","6,45"
http://20.50.171.10:9966/petclinic/api/pettypes/1 21 Pet clinic,1,50,50,50,50,50,50,50,"100,000%","20,00000","4,98","6,84"
http://20.50.171.10:9966/petclinic/api/pettypes/1 24 Pet clinic,1,59,59,59,59,59,59,59,"100,000%","16,94915","4,22","5,79"
http://20.50.171.10:9966/petclinic/api/pettypes 4 ${websiteName},1,467,467,467,467,467,467,467,"0,000%","2,14133","70,30","0,54"
http://20.50.171.10:9966/petclinic/api/pettypes 18 ${websiteName},1,328,328,328,328,328,328,328,"0,000%","3,04878","100,09","0,77"
http://20.50.171.10:9966/petclinic/api/pettypes/1 23 Pet clinic,1,57,57,57,57,57,57,57,"100,000%","17,54386","4,37","6,00"
http://20.50.171.10:9966/petclinic/api/pettypes/1 25 Pet clinic,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","7,95"
http://20.50.171.10:9966/petclinic/api/pettypes/1 9 Pet clinic,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","7,95"
http://20.50.171.10:9966/petclinic/api/pettypes 30 ${websiteName},1,227,227,227,227,227,227,227,"0,000%","4,40529","144,63","1,12"
http://20.50.171.10:9966/petclinic/api/pettypes/1 27 Pet clinic,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","7,60"
http://20.50.171.10:9966/petclinic/api/pettypes 33 ${websiteName},1,199,199,199,199,199,199,199,"0,000%","5,02513","164,98","1,28"
http://20.50.171.10:9966/petclinic/api/pettypes 11 ${websiteName},1,426,426,426,426,426,426,426,"0,000%","2,34742","77,07","0,60"
http://20.50.171.10:9966/petclinic/api/pettypes/1 18 Pet clinic,1,44,44,44,44,44,44,44,"100,000%","22,72727","5,66","7,77"
http://20.50.171.10:9966/petclinic/api/pettypes/1 4 Pet clinic,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","7,60"
http://20.50.171.10:9966/petclinic/api/pettypes 32 ${websiteName},1,251,251,251,251,251,251,251,"0,000%","3,98406","130,80","1,01"
http://20.50.171.10:9966/petclinic/api/pettypes/1 30 Pet clinic,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","7,27"
http://20.50.171.10:9966/petclinic/api/pettypes/1 33 Pet clinic,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","7,27"
http://20.50.171.10:9966/petclinic/api/pettypes 22 ${websiteName},1,365,365,365,365,365,365,365,"0,000%","2,73973","89,95","0,70"
http://20.50.171.10:9966/petclinic/api/pettypes/1 11 Pet clinic,1,53,53,53,53,53,53,53,"100,000%","18,86792","4,70","6,45"
http://20.50.171.10:9966/petclinic/api/pettypes 39 ${websiteName},1,203,203,203,203,203,203,203,"0,000%","4,92611","161,72","1,25"
http://20.50.171.10:9966/petclinic/api/pettypes 35 ${websiteName},1,244,244,244,244,244,244,244,"0,000%","4,09836","134,55","1,04"
http://20.50.171.10:9966/petclinic/api/pettypes 34 ${websiteName},1,260,260,260,260,260,260,260,"0,000%","3,84615","126,27","0,98"
http://20.50.171.10:9966/petclinic/api/pettypes 41 ${websiteName},1,197,197,197,197,197,197,197,"0,000%","5,07614","166,65","1,29"
http://20.50.171.10:9966/petclinic/api/pettypes/1 32 Pet clinic,1,50,50,50,50,50,50,50,"100,000%","20,00000","4,98","6,84"
http://20.50.171.10:9966/petclinic/api/pettypes 38 ${websiteName},1,254,254,254,254,254,254,254,"0,000%","3,93701","129,25","1,00"
http://20.50.171.10:9966/petclinic/api/pettypes 37 ${websiteName},1,263,263,263,263,263,263,263,"0,000%","3,80228","124,83","0,97"
http://20.50.171.10:9966/petclinic/api/pettypes/1 22 Pet clinic,1,51,51,51,51,51,51,51,"100,000%","19,60784","4,88","6,70"
http://20.50.171.10:9966/petclinic/api/pettypes/1 35 Pet clinic,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","7,60"
http://20.50.171.10:9966/petclinic/api/pettypes/1 39 Pet clinic,1,46,46,46,46,46,46,46,"100,000%","21,73913","5,41","7,43"
http://20.50.171.10:9966/petclinic/api/pettypes/1 34 Pet clinic,1,48,48,48,48,48,48,48,"100,000%","20,83333","5,19","7,12"
http://20.50.171.10:9966/petclinic/api/pettypes/1 41 Pet clinic,1,54,54,54,54,54,54,54,"100,000%","18,51852","4,61","6,33"
http://20.50.171.10:9966/petclinic/api/pettypes 46 ${websiteName},1,203,203,203,203,203,203,203,"0,000%","4,92611","161,72","1,25"
http://20.50.171.10:9966/petclinic/api/pettypes 31 ${websiteName},1,354,354,354,354,354,354,354,"0,000%","2,82486","92,74","0,72"
http://20.50.171.10:9966/petclinic/api/pettypes 48 ${websiteName},1,186,186,186,186,186,186,186,"0,000%","5,37634","176,51","1,37"
http://20.50.171.10:9966/petclinic/api/pettypes/1 38 Pet clinic,1,49,49,49,49,49,49,49,"100,000%","20,40816","5,08","6,98"
http://20.50.171.10:9966/petclinic/api/pettypes 44 ${websiteName},1,243,243,243,243,243,243,243,"0,000%","4,11523","135,10","1,04"
http://20.50.171.10:9966/petclinic/api/pettypes/1 37 Pet clinic,1,55,55,55,55,55,55,55,"100,000%","18,18182","4,53","6,21"
http://20.50.171.10:9966/petclinic/api/pettypes 50 ${websiteName},1,193,193,193,193,193,193,193,"0,000%","5,18135","170,10","1,32"
http://20.50.171.10:9966/petclinic/api/pettypes 51 ${websiteName},1,189,189,189,189,189,189,189,"0,000%","5,29101","173,70","1,34"
http://20.50.171.10:9966/petclinic/api/pettypes/1 48 Pet clinic,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","7,60"
http://20.50.171.10:9966/petclinic/api/pettypes/1 31 Pet clinic,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","7,27"
http://20.50.171.10:9966/petclinic/api/pettypes/1 46 Pet clinic,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","7,27"
http://20.50.171.10:9966/petclinic/api/pettypes 47 ${websiteName},1,241,241,241,241,241,241,241,"0,000%","4,14938","136,22","1,05"
http://20.50.171.10:9966/petclinic/api/pettypes 40 ${websiteName},1,327,327,327,327,327,327,327,"0,000%","3,05810","100,40","0,78"
http://20.50.171.10:9966/petclinic/api/pettypes 43 ${websiteName},1,297,297,297,297,297,297,297,"0,000%","3,36700","110,54","0,85"
http://20.50.171.10:9966/petclinic/api/pettypes/1 44 Pet clinic,1,46,46,46,46,46,46,46,"100,000%","21,73913","5,41","7,43"
http://20.50.171.10:9966/petclinic/api/pettypes 49 ${websiteName},1,239,239,239,239,239,239,239,"0,000%","4,18410","137,36","1,06"
http://20.50.171.10:9966/petclinic/api/pettypes 53 ${websiteName},1,206,206,206,206,206,206,206,"0,000%","4,85437","159,37","1,23"
http://20.50.171.10:9966/petclinic/api/pettypes/1 50 Pet clinic,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","7,60"
http://20.50.171.10:9966/petclinic/api/pettypes/1 51 Pet clinic,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","7,95"
http://20.50.171.10:9966/petclinic/api/pettypes 55 ${websiteName},1,205,205,205,205,205,205,205,"0,000%","4,87805","160,15","1,24"
http://20.50.171.10:9966/petclinic/api/pettypes/1 47 Pet clinic,1,44,44,44,44,44,44,44,"100,000%","22,72727","5,66","7,77"
http://20.50.171.10:9966/petclinic/api/pettypes/1 40 Pet clinic,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","7,60"
http://20.50.171.10:9966/petclinic/api/pettypes 57 ${websiteName},1,202,202,202,202,202,202,202,"0,000%","4,95050","162,53","1,26"
http://20.50.171.10:9966/petclinic/api/pettypes/1 43 Pet clinic,1,53,53,53,53,53,53,53,"100,000%","18,86792","4,70","6,45"
http://20.50.171.10:9966/petclinic/api/pettypes/1 49 Pet clinic,1,51,51,51,51,51,51,51,"100,000%","19,60784","4,88","6,70"
http://20.50.171.10:9966/petclinic/api/pettypes/1 10 Pet clinic,1,337,337,337,337,337,337,337,"100,000%","2,96736","0,74","1,01"
http://20.50.171.10:9966/petclinic/api/pettypes/1 53 Pet clinic,1,48,48,48,48,48,48,48,"100,000%","20,83333","5,19","7,12"
http://20.50.171.10:9966/petclinic/api/pettypes 58 ${websiteName},1,216,216,216,216,216,216,216,"0,000%","4,62963","151,99","1,18"
http://20.50.171.10:9966/petclinic/api/pettypes/1 55 Pet clinic,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","8,14"
http://20.50.171.10:9966/petclinic/api/pettypes 61 ${websiteName},1,188,188,188,188,188,188,188,"0,000%","5,31915","174,63","1,35"
http://20.50.171.10:9966/petclinic/api/pettypes 52 ${websiteName},1,278,278,278,278,278,278,278,"0,000%","3,59712","118,09","0,91"
