Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 1 ${websiteName},1,151,151,151,151,151,151,151,"0,000%","6,62252","217,42","1,68"
Pet types tab,10,177,178,187,187,187,151,187,"0,000%","9,20810","302,30","2,34"
http://20.50.171.10:9966/petclinic/api/pettypes/1 1 Pet clinic,1,40,40,40,40,40,40,40,"100,000%","25,00000","6,23","8,54"
Delete pet,10,41,41,42,42,49,39,49,"100,000%","10,26694","2,56","3,51"
http://20.50.171.10:9966/petclinic/api/pettypes 2 ${websiteName},1,176,176,176,176,176,176,176,"0,000%","5,68182","186,53","1,44"
http://20.50.171.10:9966/petclinic/api/pettypes/1 2 Pet clinic,1,49,49,49,49,49,49,49,"100,000%","20,40816","5,08","6,98"
http://20.50.171.10:9966/petclinic/api/pettypes 3 ${websiteName},1,173,173,173,173,173,173,173,"0,000%","5,78035","189,77","1,47"
http://20.50.171.10:9966/petclinic/api/pettypes/1 3 Pet clinic,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","8,14"
http://20.50.171.10:9966/petclinic/api/pettypes 4 ${websiteName},1,181,181,181,181,181,181,181,"0,000%","5,52486","181,38","1,40"
http://20.50.171.10:9966/petclinic/api/pettypes/1 4 Pet clinic,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","8,14"
http://20.50.171.10:9966/petclinic/api/pettypes 5 ${websiteName},1,187,187,187,187,187,187,187,"0,000%","5,34759","175,56","1,36"
http://20.50.171.10:9966/petclinic/api/pettypes/1 5 Pet clinic,1,40,40,40,40,40,40,40,"100,000%","25,00000","6,23","8,54"
http://20.50.171.10:9966/petclinic/api/pettypes 6 ${websiteName},1,186,186,186,186,186,186,186,"0,000%","5,37634","176,51","1,37"
http://20.50.171.10:9966/petclinic/api/pettypes/1 6 Pet clinic,1,41,41,41,41,41,41,41,"100,000%","24,39024","6,07","8,34"
http://20.50.171.10:9966/petclinic/api/pettypes 7 ${websiteName},1,174,174,174,174,174,174,174,"0,000%","5,74713","188,68","1,46"
http://20.50.171.10:9966/petclinic/api/pettypes/1 7 Pet clinic,1,39,39,39,39,39,39,39,"100,000%","25,64103","6,39","8,76"
http://20.50.171.10:9966/petclinic/api/pettypes 8 ${websiteName},1,187,187,187,187,187,187,187,"0,000%","5,34759","175,56","1,36"
http://20.50.171.10:9966/petclinic/api/pettypes/1 8 Pet clinic,1,39,39,39,39,39,39,39,"100,000%","25,64103","6,39","8,76"
http://20.50.171.10:9966/petclinic/api/pettypes 9 ${websiteName},1,178,178,178,178,178,178,178,"0,000%","5,61798","184,44","1,43"
http://20.50.171.10:9966/petclinic/api/pettypes/1 9 Pet clinic,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","8,14"
http://20.50.171.10:9966/petclinic/api/pettypes 10 ${websiteName},1,185,185,185,185,185,185,185,"0,000%","5,40541","177,46","1,37"
http://20.50.171.10:9966/petclinic/api/pettypes/1 10 Pet clinic,1,41,41,41,41,41,41,41,"100,000%","24,39024","6,07","8,34"
TOTAL,40,109,49,186,187,187,39,187,"50,000%","35,49246","587,03","10,57"
