Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 24 ${websiteName},1,137,137,137,137,137,137,137,"0,000%","7,29927","239,64","1,85"
http://20.50.171.10:9966/petclinic/api/pettypes 25 ${websiteName},1,135,135,135,135,135,135,135,"0,000%","7,40741","243,19","1,88"
http://20.50.171.10:9966/petclinic/api/pettypes 23 ${websiteName},1,183,183,183,183,183,183,183,"0,000%","5,46448","179,40","1,39"
http://20.50.171.10:9966/petclinic/api/pettypes/1 24 Pet clinic,1,40,40,40,40,40,40,40,"100,000%","25,00000","6,23","8,54"
http://20.50.171.10:9966/petclinic/api/pettypes/1 25 Pet clinic,1,40,40,40,40,40,40,40,"100,000%","25,00000","6,23","8,54"
http://20.50.171.10:9966/petclinic/api/pettypes/1 23 Pet clinic,1,44,44,44,44,44,44,44,"100,000%","22,72727","5,66","7,77"
http://20.50.171.10:9966/petclinic/api/pettypes 28 ${websiteName},1,129,129,129,129,129,129,129,"0,000%","7,75194","254,50","1,97"
http://20.50.171.10:9966/petclinic/api/pettypes 26 ${websiteName},1,173,173,173,173,173,173,173,"0,000%","5,78035","189,77","1,47"
http://20.50.171.10:9966/petclinic/api/pettypes 30 ${websiteName},1,135,135,135,135,135,135,135,"0,000%","7,40741","243,19","1,88"
http://20.50.171.10:9966/petclinic/api/pettypes/1 28 Pet clinic,1,53,53,53,53,53,53,53,"100,000%","18,86792","4,70","6,45"
http://20.50.171.10:9966/petclinic/api/pettypes/1 26 Pet clinic,1,46,46,46,46,46,46,46,"100,000%","21,73913","5,41","7,43"
http://20.50.171.10:9966/petclinic/api/pettypes 27 ${websiteName},1,202,202,202,202,202,202,202,"0,000%","4,95050","162,53","1,26"
http://20.50.171.10:9966/petclinic/api/pettypes 29 ${websiteName},1,182,182,182,182,182,182,182,"0,000%","5,49451","180,39","1,40"
http://20.50.171.10:9966/petclinic/api/pettypes/1 30 Pet clinic,1,48,48,48,48,48,48,48,"100,000%","20,83333","5,19","7,12"
http://20.50.171.10:9966/petclinic/api/pettypes/1 27 Pet clinic,1,41,41,41,41,41,41,41,"100,000%","24,39024","6,07","8,34"
http://20.50.171.10:9966/petclinic/api/pettypes 33 ${websiteName},1,147,147,147,147,147,147,147,"0,000%","6,80272","223,33","1,73"
http://20.50.171.10:9966/petclinic/api/pettypes/1 29 Pet clinic,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","7,60"
http://20.50.171.10:9966/petclinic/api/pettypes 34 ${websiteName},1,133,133,133,133,133,133,133,"0,000%","7,51880","246,84","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes 32 ${websiteName},1,184,184,184,184,184,184,184,"0,000%","5,43478","178,42","1,38"
http://20.50.171.10:9966/petclinic/api/pettypes/1 33 Pet clinic,1,54,54,54,54,54,54,54,"100,000%","18,51852","4,61","6,33"
http://20.50.171.10:9966/petclinic/api/pettypes/1 34 Pet clinic,1,54,54,54,54,54,54,54,"100,000%","18,51852","4,61","6,33"
http://20.50.171.10:9966/petclinic/api/pettypes 36 ${websiteName},1,149,149,149,149,149,149,149,"0,000%","6,71141","220,34","1,70"
http://20.50.171.10:9966/petclinic/api/pettypes/1 32 Pet clinic,1,46,46,46,46,46,46,46,"100,000%","21,73913","5,41","7,43"
http://20.50.171.10:9966/petclinic/api/pettypes 35 ${websiteName},1,192,192,192,192,192,192,192,"0,000%","5,20833","170,99","1,32"
http://20.50.171.10:9966/petclinic/api/pettypes 39 ${websiteName},1,132,132,132,132,132,132,132,"0,000%","7,57576","248,71","1,92"
http://20.50.171.10:9966/petclinic/api/pettypes/1 36 Pet clinic,1,48,48,48,48,48,48,48,"100,000%","20,83333","5,19","7,12"
http://20.50.171.10:9966/petclinic/api/pettypes/1 35 Pet clinic,1,53,53,53,53,53,53,53,"100,000%","18,86792","4,70","6,45"
http://20.50.171.10:9966/petclinic/api/pettypes 31 ${websiteName},1,327,327,327,327,327,327,327,"0,000%","3,05810","100,40","0,78"
http://20.50.171.10:9966/petclinic/api/pettypes 38 ${websiteName},1,218,218,218,218,218,218,218,"0,000%","4,58716","150,60","1,16"
http://20.50.171.10:9966/petclinic/api/pettypes/1 39 Pet clinic,1,66,66,66,66,66,66,66,"100,000%","15,15152","3,77","5,18"
http://20.50.171.10:9966/petclinic/api/pettypes 40 ${websiteName},1,180,180,180,180,180,180,180,"0,000%","5,55556","182,39","1,41"
http://20.50.171.10:9966/petclinic/api/pettypes/1 31 Pet clinic,1,50,50,50,50,50,50,50,"100,000%","20,00000","4,98","6,84"
http://20.50.171.10:9966/petclinic/api/pettypes 42 ${websiteName},1,159,159,159,159,159,159,159,"0,000%","6,28931","206,48","1,60"
http://20.50.171.10:9966/petclinic/api/pettypes/1 38 Pet clinic,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","7,95"
http://20.50.171.10:9966/petclinic/api/pettypes 41 ${websiteName},1,203,203,203,203,203,203,203,"0,000%","4,92611","161,72","1,25"
http://20.50.171.10:9966/petclinic/api/pettypes/1 40 Pet clinic,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","7,95"
http://20.50.171.10:9966/petclinic/api/pettypes 43 ${websiteName},1,162,162,162,162,162,162,162,"0,000%","6,17284","202,65","1,57"
http://20.50.171.10:9966/petclinic/api/pettypes/1 42 Pet clinic,1,48,48,48,48,48,48,48,"100,000%","20,83333","5,19","7,12"
http://20.50.171.10:9966/petclinic/api/pettypes/1 41 Pet clinic,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","8,14"
http://20.50.171.10:9966/petclinic/api/pettypes/1 43 Pet clinic,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","8,14"
http://20.50.171.10:9966/petclinic/api/pettypes 46 ${websiteName},1,148,148,148,148,148,148,148,"0,000%","6,75676","221,82","1,72"
http://20.50.171.10:9966/petclinic/api/pettypes 44 ${websiteName},1,213,213,213,213,213,213,213,"0,000%","4,69484","154,13","1,19"
http://20.50.171.10:9966/petclinic/api/pettypes 48 ${websiteName},1,149,149,149,149,149,149,149,"0,000%","6,71141","220,34","1,70"
http://20.50.171.10:9966/petclinic/api/pettypes/1 46 Pet clinic,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","7,95"
http://20.50.171.10:9966/petclinic/api/pettypes 49 ${websiteName},1,133,133,133,133,133,133,133,"0,000%","7,51880","246,84","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes/1 44 Pet clinic,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","7,27"
http://20.50.171.10:9966/petclinic/api/pettypes 47 ${websiteName},1,207,207,207,207,207,207,207,"0,000%","4,83092","158,60","1,23"
http://20.50.171.10:9966/petclinic/api/pettypes/1 48 Pet clinic,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","7,95"
http://20.50.171.10:9966/petclinic/api/pettypes/1 49 Pet clinic,1,52,52,52,52,52,52,52,"100,000%","19,23077","4,79","6,57"
http://20.50.171.10:9966/petclinic/api/pettypes 37 ${websiteName},1,434,434,434,434,434,434,434,"0,000%","2,30415","75,65","0,59"
http://20.50.171.10:9966/petclinic/api/pettypes/1 47 Pet clinic,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","7,95"
http://20.50.171.10:9966/petclinic/api/pettypes 50 ${websiteName},1,190,190,190,190,190,190,190,"0,000%","5,26316","172,79","1,34"
http://20.50.171.10:9966/petclinic/api/pettypes/1 37 Pet clinic,1,41,41,41,41,41,41,41,"100,000%","24,39024","6,07","8,34"
http://20.50.171.10:9966/petclinic/api/pettypes/1 50 Pet clinic,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","8,14"
http://20.50.171.10:9966/petclinic/api/pettypes 12 ${websiteName},1,1169,1169,1169,1169,1169,1169,1169,"0,000%",",85543","28,08","0,22"
http://20.50.171.10:9966/petclinic/api/pettypes 45 ${websiteName},1,540,540,540,540,540,540,540,"0,000%","1,85185","60,80","0,47"
http://20.50.171.10:9966/petclinic/api/pettypes/1 12 Pet clinic,1,41,41,41,41,41,41,41,"100,000%","24,39024","6,07","8,34"
http://20.50.171.10:9966/petclinic/api/pettypes/1 45 Pet clinic,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","8,14"
TOTAL,200,125,66,202,218,540,40,1169,"50,000%","136,42565","2256,42","40,63"
