Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 3 ${websiteName},1,276,276,276,276,276,276,276,"0,000%","3,62319","118,95","0,92"
Pet types tab,500,2069,1894,3183,4191,5307,276,8988,"0,000%","53,72300","1763,73","13,64"
http://20.50.171.10:9966/petclinic/api/pettypes 12 ${websiteName},1,289,289,289,289,289,289,289,"0,000%","3,46021","113,60","0,88"
http://20.50.171.10:9966/petclinic/api/pettypes 9 ${websiteName},1,307,307,307,307,307,307,307,"0,000%","3,25733","106,94","0,83"
http://20.50.171.10:9966/petclinic/api/pettypes 17 ${websiteName},1,294,294,294,294,294,294,294,"0,000%","3,40136","111,67","0,86"
http://20.50.171.10:9966/petclinic/api/pettypes 15 ${websiteName},1,318,318,318,318,318,318,318,"0,000%","3,14465","103,24","0,80"
http://20.50.171.10:9966/petclinic/api/pettypes 10 ${websiteName},1,332,332,332,332,332,332,332,"0,000%","3,01205","98,89","0,76"
http://20.50.171.10:9966/petclinic/api/pettypes 16 ${websiteName},1,337,337,337,337,337,337,337,"0,000%","2,96736","97,42","0,75"
http://20.50.171.10:9966/petclinic/api/pettypes 20 ${websiteName},1,376,376,376,376,376,376,376,"0,000%","2,65957","87,31","0,68"
http://20.50.171.10:9966/petclinic/api/pettypes 23 ${websiteName},1,383,383,383,383,383,383,383,"0,000%","2,61097","85,72","0,66"
http://20.50.171.10:9966/petclinic/api/pettypes/1 3 Pet clinic,1,158,158,158,158,158,158,158,"100,000%","6,32911","1,58","2,16"
Delete pet,500,110,50,185,539,1043,40,2083,"100,000%","55,14503","13,73","18,85"
http://20.50.171.10:9966/petclinic/api/pettypes 27 ${websiteName},1,388,388,388,388,388,388,388,"0,000%","2,57732","84,61","0,65"
http://20.50.171.10:9966/petclinic/api/pettypes 13 ${websiteName},1,480,480,480,480,480,480,480,"0,000%","2,08333","68,40","0,53"
http://20.50.171.10:9966/petclinic/api/pettypes/1 12 Pet clinic,1,198,198,198,198,198,198,198,"100,000%","5,05051","1,26","1,73"
http://20.50.171.10:9966/petclinic/api/pettypes/1 9 Pet clinic,1,187,187,187,187,187,187,187,"100,000%","5,34759","1,33","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes/1 17 Pet clinic,1,188,188,188,188,188,188,188,"100,000%","5,31915","1,32","1,82"
http://20.50.171.10:9966/petclinic/api/pettypes 36 ${websiteName},1,449,449,449,449,449,449,449,"0,000%","2,22717","73,12","0,57"
http://20.50.171.10:9966/petclinic/api/pettypes 38 ${websiteName},1,446,446,446,446,446,446,446,"0,000%","2,24215","73,61","0,57"
http://20.50.171.10:9966/petclinic/api/pettypes/1 15 Pet clinic,1,188,188,188,188,188,188,188,"100,000%","5,31915","1,32","1,82"
http://20.50.171.10:9966/petclinic/api/pettypes/1 10 Pet clinic,1,184,184,184,184,184,184,184,"100,000%","5,43478","1,35","1,86"
http://20.50.171.10:9966/petclinic/api/pettypes 19 ${websiteName},1,539,539,539,539,539,539,539,"0,000%","1,85529","60,91","0,47"
http://20.50.171.10:9966/petclinic/api/pettypes 26 ${websiteName},1,526,526,526,526,526,526,526,"0,000%","1,90114","62,41","0,48"
http://20.50.171.10:9966/petclinic/api/pettypes 37 ${websiteName},1,505,505,505,505,505,505,505,"0,000%","1,98020","65,01","0,50"
http://20.50.171.10:9966/petclinic/api/pettypes/1 20 Pet clinic,1,225,225,225,225,225,225,225,"100,000%","4,44444","1,11","1,52"
http://20.50.171.10:9966/petclinic/api/pettypes/1 23 Pet clinic,1,230,230,230,230,230,230,230,"100,000%","4,34783","1,08","1,49"
http://20.50.171.10:9966/petclinic/api/pettypes 43 ${websiteName},1,576,576,576,576,576,576,576,"0,000%","1,73611","57,00","0,44"
http://20.50.171.10:9966/petclinic/api/pettypes/1 27 Pet clinic,1,219,219,219,219,219,219,219,"100,000%","4,56621","1,14","1,56"
http://20.50.171.10:9966/petclinic/api/pettypes 11 ${websiteName},1,672,672,672,672,672,672,672,"0,000%","1,48810","48,85","0,38"
http://20.50.171.10:9966/petclinic/api/pettypes 49 ${websiteName},1,601,601,601,601,601,601,601,"0,000%","1,66389","54,63","0,42"
http://20.50.171.10:9966/petclinic/api/pettypes 56 ${websiteName},1,618,618,618,618,618,618,618,"0,000%","1,61812","53,12","0,41"
http://20.50.171.10:9966/petclinic/api/pettypes/1 36 Pet clinic,1,214,214,214,214,214,214,214,"100,000%","4,67290","1,16","1,60"
http://20.50.171.10:9966/petclinic/api/pettypes/1 38 Pet clinic,1,212,212,212,212,212,212,212,"100,000%","4,71698","1,17","1,61"
http://20.50.171.10:9966/petclinic/api/pettypes 55 ${websiteName},1,655,655,655,655,655,655,655,"0,000%","1,52672","50,12","0,39"
http://20.50.171.10:9966/petclinic/api/pettypes/1 19 Pet clinic,1,204,204,204,204,204,204,204,"100,000%","4,90196","1,22","1,68"
http://20.50.171.10:9966/petclinic/api/pettypes/1 26 Pet clinic,1,205,205,205,205,205,205,205,"100,000%","4,87805","1,21","1,67"
http://20.50.171.10:9966/petclinic/api/pettypes 18 ${websiteName},1,748,748,748,748,748,748,748,"0,000%","1,33690","43,89","0,34"
http://20.50.171.10:9966/petclinic/api/pettypes/1 37 Pet clinic,1,206,206,206,206,206,206,206,"100,000%","4,85437","1,21","1,66"
http://20.50.171.10:9966/petclinic/api/pettypes 74 ${websiteName},1,656,656,656,656,656,656,656,"0,000%","1,52439","50,05","0,39"
http://20.50.171.10:9966/petclinic/api/pettypes 73 ${websiteName},1,667,667,667,667,667,667,667,"0,000%","1,49925","49,22","0,38"
http://20.50.171.10:9966/petclinic/api/pettypes 8 ${websiteName},1,800,800,800,800,800,800,800,"0,000%","1,25000","41,04","0,32"
http://20.50.171.10:9966/petclinic/api/pettypes 70 ${websiteName},1,698,698,698,698,698,698,698,"0,000%","1,43266","47,03","0,36"
http://20.50.171.10:9966/petclinic/api/pettypes 32 ${websiteName},1,815,815,815,815,815,815,815,"0,000%","1,22699","40,28","0,31"
http://20.50.171.10:9966/petclinic/api/pettypes/1 16 Pet clinic,1,521,521,521,521,521,521,521,"100,000%","1,91939","0,48","0,66"
http://20.50.171.10:9966/petclinic/api/pettypes 25 ${websiteName},1,851,851,851,851,851,851,851,"0,000%","1,17509","38,58","0,30"
http://20.50.171.10:9966/petclinic/api/pettypes 95 ${websiteName},1,711,711,711,711,711,711,711,"0,000%","1,40647","46,17","0,36"
http://20.50.171.10:9966/petclinic/api/pettypes 5 ${websiteName},1,892,892,892,892,892,892,892,"0,000%","1,12108","36,81","0,28"
http://20.50.171.10:9966/petclinic/api/pettypes 57 ${websiteName},1,874,874,874,874,874,874,874,"0,000%","1,14416","37,56","0,29"
http://20.50.171.10:9966/petclinic/api/pettypes 122 ${websiteName},1,750,750,750,750,750,750,750,"0,000%","1,33333","43,77","0,34"
http://20.50.171.10:9966/petclinic/api/pettypes 22 ${websiteName},1,967,967,967,967,967,967,967,"0,000%","1,03413","33,95","0,26"
http://20.50.171.10:9966/petclinic/api/pettypes 21 ${websiteName},1,968,968,968,968,968,968,968,"0,000%","1,03306","33,92","0,26"
http://20.50.171.10:9966/petclinic/api/pettypes 131 ${websiteName},1,755,755,755,755,755,755,755,"0,000%","1,32450","43,48","0,34"
http://20.50.171.10:9966/petclinic/api/pettypes/1 74 Pet clinic,1,229,229,229,229,229,229,229,"100,000%","4,36681","1,09","1,49"
http://20.50.171.10:9966/petclinic/api/pettypes 28 ${websiteName},1,984,984,984,984,984,984,984,"0,000%","1,01626","33,36","0,26"
http://20.50.171.10:9966/petclinic/api/pettypes 85 ${websiteName},1,923,923,923,923,923,923,923,"0,000%","1,08342","35,57","0,28"
http://20.50.171.10:9966/petclinic/api/pettypes/1 5 Pet clinic,1,191,191,191,191,191,191,191,"100,000%","5,23560","1,30","1,79"
http://20.50.171.10:9966/petclinic/api/pettypes 99 ${websiteName},1,907,907,907,907,907,907,907,"0,000%","1,10254","36,20","0,28"
http://20.50.171.10:9966/petclinic/api/pettypes 96 ${websiteName},1,923,923,923,923,923,923,923,"0,000%","1,08342","35,57","0,28"
http://20.50.171.10:9966/petclinic/api/pettypes 107 ${websiteName},1,927,927,927,927,927,927,927,"0,000%","1,07875","35,42","0,27"
http://20.50.171.10:9966/petclinic/api/pettypes 101 ${websiteName},1,946,946,946,946,946,946,946,"0,000%","1,05708","34,70","0,27"
http://20.50.171.10:9966/petclinic/api/pettypes/1 57 Pet clinic,1,170,170,170,170,170,170,170,"100,000%","5,88235","1,46","2,01"
http://20.50.171.10:9966/petclinic/api/pettypes/1 122 Pet clinic,1,164,164,164,164,164,164,164,"100,000%","6,09756","1,52","2,08"
http://20.50.171.10:9966/petclinic/api/pettypes 59 ${websiteName},1,1051,1051,1051,1051,1051,1051,1051,"0,000%",",95147","31,24","0,24"
http://20.50.171.10:9966/petclinic/api/pettypes 133 ${websiteName},1,906,906,906,906,906,906,906,"0,000%","1,10375","36,24","0,28"
http://20.50.171.10:9966/petclinic/api/pettypes/1 21 Pet clinic,1,171,171,171,171,171,171,171,"100,000%","5,84795","1,46","2,00"
http://20.50.171.10:9966/petclinic/api/pettypes/1 131 Pet clinic,1,165,165,165,165,165,165,165,"100,000%","6,06061","1,51","2,07"
http://20.50.171.10:9966/petclinic/api/pettypes 180 ${websiteName},1,842,842,842,842,842,842,842,"0,000%","1,18765","38,99","0,30"
