Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 1 ${websiteName},1,148,148,148,148,148,148,148,"0,000%","6,75676","100,86","1,72"
Pet types tab,100,157,145,168,173,484,128,538,"0,000%","79,49126","1186,62","20,18"
http://20.50.171.10:9966/petclinic/api/pettypes 3 ${websiteName},1,139,139,139,139,139,139,139,"0,000%","7,19424","107,39","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes 2 ${websiteName},1,153,153,153,153,153,153,153,"0,000%","6,53595","97,57","1,66"
http://20.50.171.10:9966/petclinic/api/pettypes 4 ${websiteName},1,145,145,145,145,145,145,145,"0,000%","6,89655","102,95","1,75"
http://20.50.171.10:9966/petclinic/api/pettypes 6 ${websiteName},1,131,131,131,131,131,131,131,"0,000%","7,63359","113,95","1,94"
http://20.50.171.10:9966/petclinic/api/pettypes 5 ${websiteName},1,149,149,149,149,149,149,149,"0,000%","6,71141","100,19","1,70"
http://20.50.171.10:9966/petclinic/api/pettypes/1 1 Pet clinic,2,43,43,44,44,44,43,44,"0,000%","22,98851","7,06","6,78"
http://20.50.171.10:9966/petclinic/api/pettypes/1 3 Pet clinic,2,41,40,43,43,43,40,43,"0,000%","23,80952","7,31","7,02"
http://20.50.171.10:9966/petclinic/api/pettypes 8 ${websiteName},1,134,134,134,134,134,134,134,"0,000%","7,46269","111,40","1,89"
http://20.50.171.10:9966/petclinic/api/pettypes 7 ${websiteName},1,146,146,146,146,146,146,146,"0,000%","6,84932","102,24","1,74"
http://20.50.171.10:9966/petclinic/api/pettypes/1 2 Pet clinic,2,42,40,45,45,45,40,45,"0,000%","23,52941","7,23","6,94"
http://20.50.171.10:9966/petclinic/api/pettypes 9 ${websiteName},1,139,139,139,139,139,139,139,"0,000%","7,19424","107,39","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes/1 4 Pet clinic,2,44,42,46,46,46,42,46,"0,000%","22,72727","6,98","6,70"
http://20.50.171.10:9966/petclinic/api/pettypes 10 ${websiteName},1,133,133,133,133,133,133,133,"0,000%","7,51880","112,24","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes/1 6 Pet clinic,2,45,44,46,46,46,44,46,"0,000%","21,97802","6,75","6,48"
http://20.50.171.10:9966/petclinic/api/pettypes/1 5 Pet clinic,2,42,42,43,43,43,42,43,"0,000%","23,25581","7,14","6,86"
http://20.50.171.10:9966/petclinic/api/pettypes 11 ${websiteName},1,134,134,134,134,134,134,134,"0,000%","7,46269","111,40","1,89"
http://20.50.171.10:9966/petclinic/api/pettypes 12 ${websiteName},1,132,132,132,132,132,132,132,"0,000%","7,57576","113,09","1,92"
http://20.50.171.10:9966/petclinic/api/pettypes 13 ${websiteName},1,134,134,134,134,134,134,134,"0,000%","7,46269","111,40","1,89"
http://20.50.171.10:9966/petclinic/api/pettypes/1 8 Pet clinic,2,46,43,49,49,49,43,49,"0,000%","21,73913","6,68","6,41"
http://20.50.171.10:9966/petclinic/api/pettypes/1 7 Pet clinic,2,46,43,49,49,49,43,49,"0,000%","21,73913","6,68","6,41"
http://20.50.171.10:9966/petclinic/api/pettypes/1 9 Pet clinic,2,43,43,43,43,43,43,43,"0,000%","22,98851","7,06","6,78"
http://20.50.171.10:9966/petclinic/api/pettypes 14 ${websiteName},1,132,132,132,132,132,132,132,"0,000%","7,57576","113,09","1,92"
http://20.50.171.10:9966/petclinic/api/pettypes/1 10 Pet clinic,2,46,46,47,47,47,46,47,"0,000%","21,50538","6,60","6,34"
http://20.50.171.10:9966/petclinic/api/pettypes/1 11 Pet clinic,2,45,42,48,48,48,42,48,"0,000%","22,22222","6,83","6,55"
http://20.50.171.10:9966/petclinic/api/pettypes 15 ${websiteName},1,136,136,136,136,136,136,136,"0,000%","7,35294","109,76","1,87"
http://20.50.171.10:9966/petclinic/api/pettypes 16 ${websiteName},1,132,132,132,132,132,132,132,"0,000%","7,57576","113,09","1,92"
