Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 6 ${websiteName},5,1072,1164,1434,1715,1715,187,1715,"0,000%","1,77494","26,50","0,45"
Pet types tab,1000,1636,1626,2758,3237,3625,187,4277,"0,000%","183,41893","2738,03","46,57"
http://20.50.171.10:9966/petclinic/api/pettypes 5 ${websiteName},5,1081,863,1597,2106,2106,190,2106,"0,000%","1,55909","23,27","0,40"
http://20.50.171.10:9966/petclinic/api/pettypes 11 ${websiteName},5,1431,1705,1877,2125,2125,206,2125,"0,000%","1,77809","26,54","0,45"
http://20.50.171.10:9966/petclinic/api/pettypes 4 ${websiteName},5,1543,1454,1705,3100,3100,213,3100,"0,000%","1,32135","19,72","0,34"
http://20.50.171.10:9966/petclinic/api/pettypes 8 ${websiteName},5,1003,1208,1277,1458,1458,220,1458,"0,000%","2,10172","31,37","0,53"
http://20.50.171.10:9966/petclinic/api/pettypes 1 ${websiteName},5,1285,1449,1708,2174,2174,230,2174,"0,000%","1,74703","26,08","0,44"
http://20.50.171.10:9966/petclinic/api/pettypes 2 ${websiteName},5,1228,1448,1710,2269,2269,230,2269,"0,000%","1,69090","25,24","0,43"
http://20.50.171.10:9966/petclinic/api/pettypes 12 ${websiteName},5,1115,1201,1424,1878,1878,219,1878,"0,000%","1,97550","29,49","0,50"
http://20.50.171.10:9966/petclinic/api/pettypes 9 ${websiteName},5,1374,1450,1662,2354,2354,231,2354,"0,000%","1,31441","19,62","0,33"
http://20.50.171.10:9966/petclinic/api/pettypes 7 ${websiteName},5,1438,1250,2089,2420,2420,233,2420,"0,000%","1,56201","23,32","0,40"
http://20.50.171.10:9966/petclinic/api/pettypes 19 ${websiteName},5,1391,926,1565,3335,3335,224,3335,"0,000%","1,12740","16,83","0,29"
http://20.50.171.10:9966/petclinic/api/pettypes 16 ${websiteName},5,1385,1422,1626,2407,2407,230,2407,"0,000%","1,77494","26,50","0,45"
