Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 19 ${websiteName},1,220,220,220,220,220,220,220,"0,000%","4,54545","67,85","1,15"
http://20.50.171.10:9966/petclinic/api/pettypes 9 Pet clinic,1,144,144,144,144,144,144,144,"0,000%","6,94444","103,66","1,76"
http://20.50.171.10:9966/petclinic/api/pettypes 10 Pet clinic,1,137,137,137,137,137,137,137,"0,000%","7,29927","108,96","1,85"
http://20.50.171.10:9966/petclinic/api/pettypes 8 Pet clinic,1,188,188,188,188,188,188,188,"0,000%","5,31915","79,40","1,35"
http://20.50.171.10:9966/petclinic/api/pettypes/1 18 Pet clinic,2,54,49,59,59,59,49,59,"0,000%","18,51852","5,69","5,46"
http://20.50.171.10:9966/petclinic/api/pettypes 22 ${websiteName},1,172,172,172,172,172,172,172,"0,000%","5,81395","86,79","1,48"
http://20.50.171.10:9966/petclinic/api/pettypes/1 17 Pet clinic,2,54,49,59,59,59,49,59,"0,000%","18,51852","5,69","5,46"
http://20.50.171.10:9966/petclinic/api/pettypes 24 ${websiteName},1,168,168,168,168,168,168,168,"0,000%","5,95238","88,86","1,51"
http://20.50.171.10:9966/petclinic/api/pettypes 23 ${websiteName},1,189,189,189,189,189,189,189,"0,000%","5,29101","78,98","1,34"
http://20.50.171.10:9966/petclinic/api/pettypes/1 21 Pet clinic,2,45,43,48,48,48,43,48,"0,000%","21,73913","6,68","6,41"
http://20.50.171.10:9966/petclinic/api/pettypes/1 19 Pet clinic,2,45,42,48,48,48,42,48,"0,000%","21,97802","6,75","6,48"
http://20.50.171.10:9966/petclinic/api/pettypes/1 20 Pet clinic,2,52,49,55,55,55,49,55,"0,000%","19,04762","5,85","5,62"
http://20.50.171.10:9966/petclinic/api/pettypes 12 Pet clinic,1,119,119,119,119,119,119,119,"0,000%","8,40336","125,44","2,13"
http://20.50.171.10:9966/petclinic/api/pettypes 11 Pet clinic,1,119,119,119,119,119,119,119,"0,000%","8,40336","125,44","2,13"
http://20.50.171.10:9966/petclinic/api/pettypes 13 Pet clinic,1,109,109,109,109,109,109,109,"0,000%","9,17431","136,95","2,33"
http://20.50.171.10:9966/petclinic/api/pettypes/1 22 Pet clinic,2,50,42,58,58,58,42,58,"0,000%","19,80198","6,08","5,84"
http://20.50.171.10:9966/petclinic/api/pettypes 15 Pet clinic,1,59,59,59,59,59,59,59,"0,000%","16,94915","253,01","4,30"
http://20.50.171.10:9966/petclinic/api/pettypes 14 Pet clinic,1,60,60,60,60,60,60,60,"0,000%","16,66667","248,80","4,23"
http://20.50.171.10:9966/petclinic/api/pettypes 26 ${websiteName},1,168,168,168,168,168,168,168,"0,000%","5,95238","88,86","1,51"
http://20.50.171.10:9966/petclinic/api/pettypes 25 ${websiteName},1,191,191,191,191,191,191,191,"0,000%","5,23560","78,16","1,33"
http://20.50.171.10:9966/petclinic/api/pettypes/1 24 Pet clinic,2,75,43,108,108,108,43,108,"0,000%","13,15789","4,04","3,88"
http://20.50.171.10:9966/petclinic/api/pettypes/1 23 Pet clinic,2,75,44,106,106,106,44,106,"0,000%","13,24503","4,07","3,91"
http://20.50.171.10:9966/petclinic/api/pettypes 27 ${websiteName},1,171,171,171,171,171,171,171,"0,000%","5,84795","87,30","1,48"
http://20.50.171.10:9966/petclinic/api/pettypes 16 Pet clinic,1,101,101,101,101,101,101,101,"0,000%","9,90099","147,80","2,51"
http://20.50.171.10:9966/petclinic/api/pettypes 28 ${websiteName},1,154,154,154,154,154,154,154,"0,000%","6,49351","96,93","1,65"
http://20.50.171.10:9966/petclinic/api/pettypes 17 Pet clinic,1,48,48,48,48,48,48,48,"0,000%","20,83333","310,99","5,29"
