Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 6 ${websiteName},1,1199,1199,1199,1199,1199,1199,1199,"0,000%",",83403","248,31","0,21"
Owners tab,100,6427,7364,8971,9276,9904,1199,10039,"0,000%","9,28333","2763,92","2,34"
http://20.50.171.10:9966/petclinic/api/owners 9 ${websiteName},1,1461,1461,1461,1461,1461,1461,1461,"0,000%",",68446","203,78","0,17"
http://20.50.171.10:9966/petclinic/api/owners 12 ${websiteName},1,1679,1679,1679,1679,1679,1679,1679,"0,000%",",59559","177,33","0,15"
http://20.50.171.10:9966/petclinic/api/owners 18 ${websiteName},1,1657,1657,1657,1657,1657,1657,1657,"0,000%",",60350","179,68","0,15"
http://20.50.171.10:9966/petclinic/api/owners 3 ${websiteName},1,1850,1850,1850,1850,1850,1850,1850,"0,000%",",54054","160,93","0,14"
http://20.50.171.10:9966/petclinic/api/owners 24 ${websiteName},1,1719,1719,1719,1719,1719,1719,1719,"0,000%",",58173","173,20","0,15"
http://20.50.171.10:9966/petclinic/api/owners 15 ${websiteName},1,1892,1892,1892,1892,1892,1892,1892,"0,000%",",52854","157,36","0,13"
http://20.50.171.10:9966/petclinic/api/owners/5 15 Pet clinic,2,100,51,150,150,150,51,150,"0,000%",",57703","0,25","0,15"
http://20.50.171.10:9966/petclinic/api/pets/1 15 Pet clinic,1,49,49,49,49,49,49,49,"100,000%","20,40816","5,08","5,14"
Owner page,100,627,100,2553,3545,3958,84,4215,"100,000%","10,39501","7,18","5,26"
http://20.50.171.10:9966/petclinic/api/owners 27 ${websiteName},1,2448,2448,2448,2448,2448,2448,2448,"0,000%",",40850","121,62","0,10"
http://20.50.171.10:9966/petclinic/api/owners 30 ${websiteName},1,2436,2436,2436,2436,2436,2436,2436,"0,000%",",41051","122,22","0,10"
http://20.50.171.10:9966/petclinic/api/owners 21 ${websiteName},1,2635,2635,2635,2635,2635,2635,2635,"0,000%",",37951","112,99","0,10"
http://20.50.171.10:9966/petclinic/api/owners/5 21 Pet clinic,2,262,53,471,471,471,53,471,"0,000%",",63796","0,28","0,16"
http://20.50.171.10:9966/petclinic/api/owners 33 ${websiteName},1,2573,2573,2573,2573,2573,2573,2573,"0,000%",",38865","115,71","0,10"
http://20.50.171.10:9966/petclinic/api/owners 45 ${websiteName},1,2712,2712,2712,2712,2712,2712,2712,"0,000%",",36873","109,78","0,09"
http://20.50.171.10:9966/petclinic/api/owners 36 ${websiteName},1,2832,2832,2832,2832,2832,2832,2832,"0,000%",",35311","105,13","0,09"
http://20.50.171.10:9966/petclinic/api/owners 48 ${websiteName},1,2842,2842,2842,2842,2842,2842,2842,"0,000%",",35186","104,76","0,09"
http://20.50.171.10:9966/petclinic/api/owners 20 ${websiteName},1,3289,3289,3289,3289,3289,3289,3289,"0,000%",",30404","90,52","0,08"
http://20.50.171.10:9966/petclinic/api/owners 51 ${websiteName},1,3165,3165,3165,3165,3165,3165,3165,"0,000%",",31596","94,07","0,08"
http://20.50.171.10:9966/petclinic/api/owners 54 ${websiteName},1,3202,3202,3202,3202,3202,3202,3202,"0,000%",",31230","92,98","0,08"
http://20.50.171.10:9966/petclinic/api/owners 42 ${websiteName},1,3363,3363,3363,3363,3363,3363,3363,"0,000%",",29735","88,53","0,07"
http://20.50.171.10:9966/petclinic/api/owners 10 ${websiteName},1,3883,3883,3883,3883,3883,3883,3883,"0,000%",",25753","76,68","0,06"
http://20.50.171.10:9966/petclinic/api/owners 57 ${websiteName},1,3537,3537,3537,3537,3537,3537,3537,"0,000%",",28273","84,18","0,07"
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,4096,4096,4096,4096,4096,4096,4096,"0,000%",",24414","72,69","0,06"
http://20.50.171.10:9966/petclinic/api/owners 60 ${websiteName},1,3876,3876,3876,3876,3876,3876,3876,"0,000%",",25800","76,81","0,07"
http://20.50.171.10:9966/petclinic/api/owners/5 60 Pet clinic,2,79,50,108,108,108,50,108,"0,000%","1,75285","0,77","0,45"
http://20.50.171.10:9966/petclinic/api/pets/1 60 Pet clinic,1,52,52,52,52,52,52,52,"100,000%","19,23077","4,79","4,85"
http://20.50.171.10:9966/petclinic/api/owners 63 ${websiteName},1,4045,4045,4045,4045,4045,4045,4045,"0,000%",",24722","73,60","0,06"
http://20.50.171.10:9966/petclinic/api/owners/5 6 Pet clinic,2,1899,121,3677,3677,3677,121,3677,"0,000%",",45403","0,20","0,12"
http://20.50.171.10:9966/petclinic/api/owners/5 9 Pet clinic,2,1758,112,3405,3405,3405,112,3405,"0,000%",",48438","0,21","0,12"
http://20.50.171.10:9966/petclinic/api/owners 25 ${websiteName},1,4712,4712,4712,4712,4712,4712,4712,"0,000%",",21222","63,19","0,05"
