Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,728,728,728,728,728,728,728,"0,000%","1,37363","408,97","0,35"
Owners tab,50,3049,3064,4293,4607,5234,728,5234,"0,000%","9,18949","2735,98","2,32"
http://20.50.171.10:9966/petclinic/api/owners 8 ${websiteName},1,983,983,983,983,983,983,983,"0,000%","1,01729","302,88","0,26"
http://20.50.171.10:9966/petclinic/api/owners 5 ${websiteName},1,1090,1090,1090,1090,1090,1090,1090,"0,000%",",91743","273,15","0,23"
http://20.50.171.10:9966/petclinic/api/owners 11 ${websiteName},1,1259,1259,1259,1259,1259,1259,1259,"0,000%",",79428","236,48","0,20"
http://20.50.171.10:9966/petclinic/api/owners 17 ${websiteName},1,1413,1413,1413,1413,1413,1413,1413,"0,000%",",70771","210,71","0,18"
http://20.50.171.10:9966/petclinic/api/owners/5 2 Pet clinic,2,553,107,999,999,999,107,999,"0,000%","1,02512","0,45","0,26"
http://20.50.171.10:9966/petclinic/api/owners 14 ${websiteName},1,1524,1524,1524,1524,1524,1524,1524,"0,000%",",65617","195,36","0,17"
http://20.50.171.10:9966/petclinic/api/owners/5 14 Pet clinic,2,78,52,104,104,104,52,104,"0,000%","2,07900","0,92","0,53"
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},1,1890,1890,1890,1890,1890,1890,1890,"0,000%",",52910","157,53","0,13"
http://20.50.171.10:9966/petclinic/api/owners 20 ${websiteName},1,1638,1638,1638,1638,1638,1638,1638,"0,000%",",61050","181,76","0,15"
http://20.50.171.10:9966/petclinic/api/owners 29 ${websiteName},1,1625,1625,1625,1625,1625,1625,1625,"0,000%",",61538","183,22","0,16"
http://20.50.171.10:9966/petclinic/api/owners 9 ${websiteName},1,2087,2087,2087,2087,2087,2087,2087,"0,000%",",47916","142,66","0,12"
